lp;Wieś;Gmina;Powiat;Populacja;Status;P;IleNiepustych;4472
1;Adamka;Zadzim;powiat poddębicki;98;;;;
2;Adamki;Błaszki;powiat sieradzki;213;;;;
3;Adamowice;Kutno;powiat kutnowski;1;;;;
4;Adamów;Budziszewice;powiat tomaszowski;62;;;;
5;Adamów;Ładzice;powiat radomszczański;75;;;;
6;Adamów;Łęki Szlacheckie;powiat piotrkowski;62;;;;
7;Adamów;Opoczno;powiat opoczyński;199;;;;
8;Adamów;Paradyż;powiat opoczyński;31;;;;
9;Adamów;Wolbórz;powiat piotrkowski;62;;;;
10;Adamów;Żarnów;powiat opoczyński;31;;;;
11;Adamów;Kutno;powiat kutnowski;1;;;;
12;Adamów;Poddębice;powiat poddębicki;148;;;;
13;Adamów;Brzeziny;powiat brzeziński;177;;;;
14;Adamów;Nowy Kawęczyn;powiat skierniewicki;100;;;;
15;Adelinów;Sulejów;powiat piotrkowski;1;;;;
16;Adolfów;Zgierz;powiat zgierski;1;;;;
17;Afryka;Żarnów;powiat opoczyński;20;;;;
18;Agnopol;Budziszewice;powiat tomaszowski;58;;;;
19;Albertów;Lubochnia;powiat tomaszowski;42;;;;
20;Albertów;Rokiciny;powiat tomaszowski;60;;;;
21;Albertów;Lutomiersk;powiat pabianicki;102;;;;
22;Albinów;Głowno;powiat zgierski;103;;;;
23;Aleksandria;Ozorków;powiat zgierski;200;;;;
24;Aleksandrów;Aleksandrów;powiat piotrkowski;218;;;;
25;Aleksandrów;Kamieńsk;powiat radomszczański;149;;;;
26;Aleksandrów;Kleszczów;powiat bełchatowski;1;;;;
27;Aleksandrów;Ujazd;powiat tomaszowski;1;;;;
28;Aleksandrów;Strzelce;powiat kutnowski;141;;;;
29;Aleksandrów;Żychlin;powiat kutnowski;4;;;;
30;Aleksandrów;Rusiec;powiat bełchatowski;202;;;;
31;Aleksandrów;Biała Rawska;powiat rawski;34;;;;
32;Aleksandrówek;Grabów;powiat łęczycki;1;;;;
33;Aleksandrówek;Łask;powiat łaski;104;;;;
34;Aleksandrówek;Poddębice;powiat poddębicki;1;;;;
35;Aleksandrówka;Żychlin;powiat kutnowski;64;;;;
36;Aleksandrówka;Dalików;powiat poddębicki;1;;;;
37;Alfonsów;Paradyż;powiat opoczyński;87;;;;
38;Alfonsów;Wodzierady;powiat łaski;1;;;;
39;Alfonsów;Zadzim;powiat poddębicki;1;;;;
40;Ambrożew;Góra Świętej Małgorzaty;powiat łęczycki;286;;;;
41;Amelin;Radomsko;powiat radomszczański;1;;;;
42;Anastazew;Parzęczew;powiat zgierski;29;;;;
43;Anastazów;Bełchatów;powiat bełchatowski;1;;;;
44;Andrespol;Andrespol;powiat łódzki wschodni;3281;;;;
45;Andrzejów;Łubnice;powiat wieruszowski;155;;;;
46;Andrzejów;Rusiec;powiat bełchatowski;1;;;;
47;Andrzejów;Zduńska Wola;powiat zduńskowolski;1;;;;
48;Anielin Swędowski;Stryków;powiat zgierski;328;;;;
49;Anielin;Stryków;powiat zgierski;115;;;;
50;Anielin;Poświętne;powiat opoczyński;151;;;;
51;Anielin;Wielgomłyny;powiat radomszczański;1;;;;
52;Anielin;Łanięta;powiat kutnowski;55;;;;
53;Anielin;Konopnica;powiat wieluński;61;;;;
54;Anielin;Łask;powiat łaski;293;;;;
55;Annetów;Bedlno;powiat kutnowski;1;;;;
56;Annolesie;Rusiec;powiat bełchatowski;151;;;;
57;Annopol Duży;Czerniewice;powiat tomaszowski;69;;;;
58;Annopol Mały;Czerniewice;powiat tomaszowski;16;;;;
59;Annopole Nowe;Zduńska Wola;powiat zduńskowolski;281;;;;
60;Annopole Stare;Zduńska Wola;powiat zduńskowolski;140;;;;
61;Annosław;Regnów;powiat rawski;229;;;;
62;Annów;Czerniewice;powiat tomaszowski;187;;;;
63;Annów;Zadzim;powiat poddębicki;1;;;;
64;Antolin;Budziszewice;powiat tomaszowski;1;;;;
65;Antonielów;Łęki Szlacheckie;powiat piotrkowski;83;;;;
66;Antoniew;Aleksandrów Łódzki;powiat zgierski;696;;;;
67;Antoniew;Głowno;powiat zgierski;147;;;;
68;Antoniew;Bedlno;powiat kutnowski;114;;;;
69;Antoniew;Dalików;powiat poddębicki;1;;;;
70;Antoniew;Lutomiersk;powiat pabianicki;1;;;;
71;Antonin;Burzenin;powiat sieradzki;104;;;;
72;Antonin;Szadek;powiat zduńskowolski;1;;;;
73;Antonina;Strzelce Wielkie;powiat pajęczański;136;;;;
74;Antonina;Poddębice;powiat poddębicki;54;;;;
75;Antonina;Rusiec;powiat bełchatowski;133;;;;
76;Antoninów;Sławno;powiat opoczyński;257;;;;
77;Antoninów;Biała Rawska;powiat rawski;67;;;;
78;Antoniów;Kodrąb;powiat radomszczański;1;;;;
79;Antoniów;Opoczno;powiat opoczyński;155;;;;
80;Antoniów;Żarnów;powiat opoczyński;90;;;;
81;Antoniówka;Kleszczów;powiat bełchatowski;171;;;;
82;Antoniówka;Sławno;powiat opoczyński;378;;;;
83;Anusin;Zadzim;powiat poddębicki;1;;;;
84;Apolinów;Bełchatów;powiat bełchatowski;1;;;;
85;Apolonia;Wodzierady;powiat łaski;1;;;;
86;Apolonka;Wolbórz;powiat piotrkowski;1;;;;
87;Arkadia;Nieborów;powiat łowicki;244;;;;
88;Astachowice;Zgierz;powiat zgierski;196;;;;
89;Augustopol;Dąbrowice;powiat kutnowski;154;;;;
90;Augustów;Rząśnia;powiat pajęczański;57;;;;
91;Augustów;Drzewica;powiat opoczyński;1;;;;
92;Augustynów;Bełchatów;powiat bełchatowski;338;;;;
93;Augustynów;Lututów;powiat wieruszowski;114;;;;
94;Augustynów;Warta;powiat sieradzki;57;;;;
95;Babczów;Kobiele Wielkie;powiat radomszczański;234;;;;
96;Babice;Lutomiersk;powiat pabianicki;355;;;;
97;Babichy;Rzgów;powiat łódzki wschodni;1;;;;
98;Babiczki;Lutomiersk;powiat pabianicki;386;;;;
99;Babina;Widawa;powiat łaski;1;;;;
100;Babsk;Biała Rawska;powiat rawski;528;;;;
101;Baby;Moszczenica;powiat piotrkowski;739;;;;
102;Baby;Dąbrowice;powiat kutnowski;250;;;;
103;Bachorzyn;Buczek;powiat łaski;299;;;;
104;Bagatelka;Sokolniki;powiat wieruszowski;1;;;;
105;Bagno;Rozprza;powiat piotrkowski;122;;;;
106;Balcerów;Skierniewice;powiat skierniewicki;450;;;;
107;Balików;Żychlin;powiat kutnowski;62;;;;
108;Balin;Poddębice;powiat poddębicki;76;;;;
109;Balków;Piątek;powiat łęczycki;363;;;;
110;Bałdrzychów;Poddębice;powiat poddębicki;445;;;;
111;Bałucz;Łask;powiat łaski;396;;;;
112;Baranowizna;Bedlno;powiat kutnowski;1;;;;
113;Barany;Pajęczno;powiat pajęczański;42;;;;
114;Barczew;Brzeźnio;powiat sieradzki;251;;;;
115;Barczkowice;Kamieńsk;powiat radomszczański;290;;;;
116;Bardzinek;Krośniewice;powiat kutnowski;1;;;;
117;Bardzynin;Dalików;powiat poddębicki;56;;;;
118;Barkowice Mokre;Sulejów;powiat piotrkowski;146;;;;
119;Barkowice;Sulejów;powiat piotrkowski;423;;;;
120;Bartochów;Warta;powiat sieradzki;306;;;;
121;Bartodzieje;Masłowice;powiat radomszczański;135;;;;
122;Bartolin;Stryków;powiat zgierski;1;;;;
123;Bartoszówka;Rzeczyca;powiat tomaszowski;219;;;;
124;Barycz;Żytno;powiat radomszczański;31;;;;
