lp;Wieś;Gmina;Powiat;Populacja;Status;P;IleNiepustych;2272
1440;Prokocice;Bejsce;powiat kazimierski;142;;;;
1441;Promnik;Strawczyn;powiat kielecki;1442;;;;
1442;Promyk;Wodzisław;powiat jędrzejowski;40;;;;
1443;Prusinowice;Waśniów;powiat ostrowiecki;156;;;;
1444;Prusy;Stopnica;powiat buski;100;;;;
1445;Prusy;Ożarów;powiat opatowski;201;;;;
1446;Prząsław Mały;Jędrzejów;powiat jędrzejowski;90;;;;
1447;Prząsław;Jędrzejów;powiat jędrzejowski;319;;;;
1448;Przecławka;Michałów;powiat pińczowski;127;;;;
1449;Przeczów;Łubnice;powiat staszowski;315;;;;
1450;Przededworze;Chmielnik;powiat kielecki;794;;;;
1451;Przegrody;Łopuszno;powiat kielecki;82;;;;
1452;Przełaj Czepiecki;Sędziszów;powiat jędrzejowski;58;;;;
1453;Przełaj;Sędziszów;powiat jędrzejowski;202;;;;
1454;Przełom;Mniów;powiat kielecki;425;;;;
1455;Przepiórów;Iwaniska;powiat opatowski;208;;;;
1456;Przeuszyn;Ćmielów;powiat ostrowiecki;189;;;;
1457;Przewłoka;Łoniów;powiat sandomierski;157;;;;
1458;Przezwody;Wodzisław;powiat jędrzejowski;265;;;;
1459;Przezwody;Wilczyce;powiat sandomierski;314;;;;
1460;Przybenice;Skalbmierz;powiat kazimierski;149;;;;
1461;Przyborowice;Bogoria;powiat staszowski;232;;;;
1462;Przyborów;Bodzechów;powiat ostrowiecki;282;;;;
1463;Przybysławice;Klimontów;powiat sandomierski;159;;;;
1464;Przybysławice;Ożarów;powiat opatowski;169;;;;
1465;Przybyszowy;Końskie;powiat konecki;161;;;;
1466;Przybyszów;Moskorzew;powiat włoszczowski;110;;;;
1467;Przygradów;Włoszczowa;powiat włoszczowski;414;;;;
1468;Przyjmo;Miedziana Góra;powiat kielecki;524;;;;
1469;Przyłęczek;Wodzisław;powiat jędrzejowski;279;;;;
1470;Przyłęk;Wodzisław;powiat jędrzejowski;84;;;;
1471;Przyłogi;Smyków;powiat konecki;393;;;;
1472;Przymiarki;Brody;powiat starachowicki;1;;;;
1473;Przyrąb;Wodzisław;powiat jędrzejowski;159;;;;
1474;Przysów;Jędrzejów;powiat jędrzejowski;143;;;;
1475;Psary-Kąty;Bodzentyn;powiat kielecki;431;;;;
1476;Psary-Kolonia;Secemin;powiat włoszczowski;1;;;;
1477;Psary-Podłazy;Bodzentyn;powiat kielecki;224;;;;
1478;Psary-Stara Wieś;Bodzentyn;powiat kielecki;426;;;;
1479;Psary;Secemin;powiat włoszczowski;327;;;;
1480;Pułaczów;Raków;powiat kielecki;72;;;;
1481;Raczyce;Gnojno;powiat buski;323;;;;
1482;Radkowice-Kolonia;Pawłów;powiat starachowicki;303;;;;
1483;Radkowice;Chęciny;powiat kielecki;680;;;;
1484;Radkowice;Pawłów;powiat starachowicki;607;;;;
1485;Radków;Radków;powiat włoszczowski;491;;;;
1486;Radlin;Górno;powiat kielecki;1749;;;;
1487;Radomice;Morawica;powiat kielecki;580;;;;
1488;Radoska;Radoszyce;powiat konecki;231;;;;
1489;Radostów;Raków;powiat kielecki;144;;;;
1490;Radoszki;Wilczyce;powiat sandomierski;386;;;;
