lp;Wieś;Gmina;Powiat;Populacja;Status;P;IleNiepustych;2812
1;Adaminowo;Włocławek;powiat włocławski;101;;;;
2;Adamki;Zbójno;powiat golubsko-dobrzyński;176;;;;
3;Adamkowo;Kęsowo;powiat tucholski;1;;;;
4;Adamowo;Jabłonowo Pomorskie;powiat brodnicki;102;;;;
5;Adamowo;Chrostkowo;powiat lipnowski;156;;;;
6;Agnieszkowo;Lubraniec;powiat włocławski;83;;;;
7;Aleksandrowo;Barcin;powiat żniński;63;;;;
8;Aleksandrowo;Dobrcz;powiat bydgoski;1;;;;
9;Aleksandrowo;Brześć Kujawski;powiat włocławski;281;;;;
10;Altana;Dobre;powiat radziejowski;1;;;;
11;Anielin;Boniewo;powiat włocławski;1;;;;
12;Anieliny;Sadki;powiat nakielski;427;;;;
13;Annowo;Gąsawa;powiat żniński;158;;;;
14;Annowo;Łabiszyn;powiat żniński;1;;;;
15;Annowo;Gruta;powiat grudziądzki;301;;;;
16;Annowo;Lubraniec;powiat włocławski;185;;;;
17;Antoniewo;Bądkowo;powiat aleksandrowski;51;;;;
18;Antoniewo;Lubień Kujawski;powiat włocławski;81;;;;
19;Anusin;Piotrków Kujawski;powiat radziejowski;102;;;;
20;Arciszewo;Boniewo;powiat włocławski;177;;;;
21;Ariany;Waganiec;powiat aleksandrowski;1;;;;
22;Augustowo;Barcin;powiat żniński;1;;;;
23;Augustowo;Dobrcz;powiat bydgoski;1;;;;
24;Augustynowo;Izbica Kujawska;powiat włocławski;208;;;;
25;Baba;Skrwilno;powiat rypiński;73;;;;
26;Bachorce;Kruszwica;powiat inowrocławski;284;;;;
27;Bachorza;Zakrzewo;powiat aleksandrowski;93;;;;
28;Bachorzewo;Dobrzyń nad Wisłą;powiat lipnowski;233;;;;
29;Bachotek;Zbiczno;powiat brodnicki;1;;;;
30;Bagienica;Gostycyn;powiat tucholski;267;;;;
31;Bagniewko;Pruszcz;powiat świecki;151;;;;
32;Bagniewo;Pruszcz;powiat świecki;109;;;;
33;Bagno;Lubień Kujawski;powiat włocławski;244;;;;
34;Bajerze;Kijewo Królewskie;powiat chełmiński;356;;;;
35;Balczewo;Inowrocław;powiat inowrocławski;384;;;;
36;Balice;Janikowo;powiat inowrocławski;105;;;;
37;Balin;Inowrocław;powiat inowrocławski;115;;;;
38;Balin;Rypin;powiat rypiński;400;;;;
39;Bałdowo;Wielgie;powiat lipnowski;1;;;;
40;Baranowo;Kruszwica;powiat inowrocławski;84;;;;
41;Barany;Lipno;powiat lipnowski;183;;;;
42;Barcikowo;Lubanie;powiat włocławski;229;;;;
43;Barcin;Barcin;powiat żniński;845;;;;
44;Bartlewo;Lisewo;powiat chełmiński;253;;;;
45;Bartłomiejowice;Osięciny;powiat radziejowski;136;;;;
46;Bartniczka;Bartniczka;powiat brodnicki;704;;;;
47;Bartniki;Brodnica;powiat brodnicki;1;;;;
48;Baruchowo;Baruchowo;powiat włocławski;573;;;;
49;Batkowo;Inowrocław;powiat inowrocławski;221;;;;
50;Bąbolin;Gniewkowo;powiat inowrocławski;108;;;;
51;Bąbowo;Mogilno;powiat mogileński;1;;;;
52;Bądkowo;Bądkowo;powiat aleksandrowski;971;;;;
53;Bądkówek;Bądkowo;powiat aleksandrowski;107;;;;
54;Bągart;Kijewo Królewskie;powiat chełmiński;153;;;;
55;Bągart;Płużnica;powiat wąbrzeski;72;;;;
56;Bąkowo;Warlubie;powiat świecki;360;;;;
57;Belno;Jeżewo;powiat świecki;260;;;;
58;Bełszewo-Kolonia;Osięciny;powiat radziejowski;1;;;;
59;Bełszewo;Osięciny;powiat radziejowski;228;;;;
60;Berlinek;Jeziora Wielkie;powiat mogileński;82;;;;
61;Bertowo;Waganiec;powiat aleksandrowski;95;;;;
62;Beszyn;Lubień Kujawski;powiat włocławski;114;;;;
63;Będzeń;Wielgie;powiat lipnowski;32;;;;
64;Będzitówek;Złotniki Kujawskie;powiat inowrocławski;1;;;;
65;Bętlewo;Wielgie;powiat lipnowski;251;;;;
66;Biała;Tuchola;powiat tucholski;68;;;;
67;Białe Błota;Białe Błota;powiat bydgoski;6436;;;;
68;Białe Błota;Dąbrowa;powiat mogileński;104;;;;
69;Białe Błota;Jeżewo;powiat świecki;78;;;;
70;Białe Błota;Aleksandrów Kujawski;powiat aleksandrowski;121;;;;
71;Białe Błota;Bobrowniki;powiat lipnowski;68;;;;
72;Białe;Jeżewo;powiat świecki;147;;;;
73;Białkowo;Golub-Dobrzyń;powiat golubsko-dobrzyński;588;;;;
74;Białobłoty;Świecie nad Osą;powiat grudziądzki;156;;;;
75;Białochowo;Rogóźno;powiat grudziądzki;460;;;;
76;Białotul;Mogilno;powiat mogileński;72;;;;
77;Białowieża;Mrocza;powiat nakielski;255;;;;
78;Białowieżyn;Lipno;powiat lipnowski;96;;;;
79;Białożewin;Żnin;powiat żniński;445;;;;
