lp;Wieś;Gmina;Powiat;Populacja;Status;P;IleNiepustych;7843
1;Abramy;Kałuszyn;powiat miński;39;;;;
2;Adamczycha;Baranowo;powiat ostrołęcki;49;;;;
3;Adamowa Góra;Młodzieszyn;powiat sochaczewski;248;;;;
4;Adamowice;Mszczonów;powiat żyrardowski;112;;;;
5;Adamowizna;Grodzisk Mazowiecki;powiat grodziski;1398;;;;
6;Adamowo;Bieżuń;powiat żuromiński;29;;;;
7;Adamowo;Joniec;powiat płoński;50;;;;
8;Adamowo;Nowe Miasto;powiat płoński;69;;;;
9;Adamowo;Strzegowo;powiat mławski;51;;;;
10;Adamowo;Czerwonka;powiat makowski;17;;;;
11;Adamowo;Długosiodło;powiat wyszkowski;21;;;;
12;Adamowo;Mochowo;powiat sierpecki;71;;;;
13;Adamów Drwalewski;Chynów;powiat grójecki;14;;;;
14;Adamów Rososki;Chynów;powiat grójecki;72;;;;
15;Adamów-Parcel;Radziejowice;powiat żyrardowski;250;;;;
16;Adamów;Radziejowice;powiat żyrardowski;279;;;;
17;Adamów;Grodzisk Mazowiecki;powiat grodziski;63;;;;
18;Adamów;Szczawin Kościelny;powiat gostyniński;138;;;;
19;Adamów;Głowaczów;powiat kozienicki;90;;;;
20;Adamów;Promna;powiat białobrzeski;76;;;;
21;Adamów;Sienno;powiat lipski;67;;;;
22;Adamów;Dobre;powiat miński;63;;;;
23;Adamów;Wierzbno;powiat węgrowski;36;;;;
24;Adamówek;Czosnów;powiat nowodworski;292;;;;
25;Adamówek;Mszczonów;powiat żyrardowski;38;;;;
26;Adampol;Jadów;powiat wołomiński;264;;;;
27;Adampol;Korytnica;powiat węgrowski;44;;;;
28;Adelin;Zabrodzie;powiat wyszkowski;199;;;;
29;Adolfin;Pionki;powiat radomski;503;;;;
30;Adolfów;Ceranów;powiat sokołowski;45;;;;
31;Agnieszkowo;Szczutowo;powiat sierpecki;167;;;;
32;Albinów;Kosów Lacki;powiat sokołowski;48;;;;
33;Albinów;Kotuń;powiat siedlecki;94;;;;
34;Aleksandria;Nowe Miasto;powiat płoński;20;;;;
35;Aleksandria;Puszcza Mariańska;powiat żyrardowski;193;;;;
36;Aleksandrowo;Lelis;powiat ostrołęcki;181;;;;
37;Aleksandrowo;Troszyn;powiat ostrołęcki;48;;;;
38;Aleksandrowo;Staroźreby;powiat płocki;129;;;;
39;Aleksandrów Duży;Sienno;powiat lipski;146;;;;
40;Aleksandrów;Czosnów;powiat nowodworski;104;;;;
41;Aleksandrów;Góra Kalwaria;powiat piaseczyński;67;;;;
42;Aleksandrów;Nieporęt;powiat legionowski;455;;;;
43;Aleksandrów;Iłów;powiat sochaczewski;63;;;;
44;Aleksandrów;Sanniki;powiat gostyniński;146;;;;
45;Aleksandrów;Chlewiska;powiat szydłowiecki;151;;;;
46;Aleksandrów;Jedlnia-Letnisko;powiat radomski;307;;;;
47;Aleksandrów;Magnuszew;powiat kozienicki;146;;;;
48;Aleksandrów;Pniewy;powiat grójecki;77;;;;
49;Aleksandrów;Sienno;powiat lipski;111;;;;
50;Aleksandrów;Wyśmierzyce;powiat białobrzeski;1;;;;
51;Aleksandrów;Jakubów;powiat miński;281;;;;
52;Aleksandrów;Łaskarzew;powiat garwoliński;48;;;;
53;Aleksandrów;Rybno;powiat sochaczewski;118;;;;
54;Aleksandrów;Wiskitki;powiat żyrardowski;258;;;;
55;Aleksandrówka;Belsk Duży;powiat grójecki;141;;;;
56;Aleksandrówka;Kozienice;powiat kozienicki;1021;;;;
57;Aleksandrówka;Policzna;powiat zwoleński;62;;;;
58;Aleksandrówka;Dębe Wielkie;powiat miński;678;;;;
59;Aleksandrówka;Grębków;powiat węgrowski;93;;;;
60;Aleksandrynów;Gostynin;powiat gostyniński;7;;;;
61;Alfonsowo;Jasieniec;powiat grójecki;37;;;;
62;Alfonsów;Słubice;powiat płocki;129;;;;
63;Alojzów;Iłża;powiat radomski;157;;;;
64;Altanka;Sochaczew;powiat sochaczewski;573;;;;
65;Amelin;Krasnosielc;powiat makowski;215;;;;
66;Anastazew;Zabrodzie;powiat wyszkowski;176;;;;
67;Anatolin;Pacyna;powiat gostyniński;56;;;;
68;Andrzejewo;Andrzejewo;powiat ostrowski;837;;;;
69;Andrzejki-Tyszki;Czerwin;powiat ostrołęcki;80;;;;
70;Andrzejów Duranowski;Sochaczew;powiat sochaczewski;350;;;;
71;Andrzejów;Brochów;powiat sochaczewski;79;;;;
72;Andrzejów;Przyłęk;powiat zwoleński;112;;;;
73;Andrzejówka;Policzna;powiat zwoleński;95;;;;
74;Andzin;Nasielsk;powiat nowodworski;294;;;;
75;Anielew;Mińsk Mazowiecki;powiat miński;178;;;;
76;Anielin;Nowe Miasto;powiat płoński;107;;;;
77;Anielin;Gostynin;powiat gostyniński;94;;;;
78;Anielin;Belsk Duży;powiat grójecki;127;;;;
79;Anielin;Garbatka-Letnisko;powiat kozienicki;72;;;;
80;Anielin;Magnuszew;powiat kozienicki;330;;;;
81;Anielin;Skaryszew;powiat radomski;72;;;;
82;Anielinek;Jakubów;powiat miński;251;;;;
83;Anielów;Sobolew;powiat garwoliński;117;;;;
84;Annopol;Przasnysz;powiat przasnyski;1;;;;
85;Annopol;Szczawin Kościelny;powiat gostyniński;93;;;;
86;Annopol;Błędów;powiat grójecki;134;;;;
87;Annopol;Strachówka;powiat wołomiński;73;;;;
88;Annów;Policzna;powiat zwoleński;1;;;;
89;Antonia;Łyse;powiat ostrołęcki;71;;;;
90;Antonie;Olszewo-Borki;powiat ostrołęcki;879;;;;
91;Antoniew;Nowa Sucha;powiat sochaczewski;253;;;;
92;Antoniew;Sochaczew;powiat sochaczewski;1;;;;
93;Antoniew;Wiskitki;powiat żyrardowski;206;;;;
94;Antoniewo;Siemiątkowo;powiat żuromiński;85;;;;
95;Antoniewo;Ostrów Mazowiecka;powiat ostrowski;58;;;;
96;Antoniewo;Gozdowo;powiat sierpecki;113;;;;
97;Antonina;Dobre;powiat miński;107;;;;
98;Antonina;Jakubów;powiat miński;68;;;;
99;Antoninek;Kołbiel;powiat otwocki;79;;;;
100;Antoninów;Piaseczno;powiat piaseczyński;200;;;;
101;Antoninów;Gostynin;powiat gostyniński;174;;;;
102;Antoninów;Łąck;powiat płocki;153;;;;
103;Antoniów;Chlewiska;powiat szydłowiecki;43;;;;
104;Antoniów;Ciepielów;powiat lipski;70;;;;
105;Antoniów;Gielniów;powiat przysuski;195;;;;
106;Antoniów;Skaryszew;powiat radomski;1;;;;
107;Antoniówka Świerżowska;Maciejowice;powiat garwoliński;240;;;;
108;Antoniówka Wilczkowska;Maciejowice;powiat garwoliński;116;;;;
109;Antoniówka;Jedlnia-Letnisko;powiat radomski;578;;;;
110;Antoniówka;Policzna;powiat zwoleński;184;;;;
111;Antosin;Rybno;powiat sochaczewski;91;;;;
112;Anusin;Ciepielów;powiat lipski;188;;;;
113;Arcelin;Płońsk;powiat płoński;369;;;;
114;Archutowo;Bodzanów;powiat płocki;28;;;;
115;Archutówko;Bodzanów;powiat płocki;113;;;;
116;Arciechów;Radzymin;powiat wołomiński;319;;;;
117;Arciechów;Iłów;powiat sochaczewski;55;;;;
118;Arciechówek;Iłów;powiat sochaczewski;22;;;;
119;Arynów;Mińsk Mazowiecki;powiat miński;217;;;;
120;Atalin;Zwoleń;powiat zwoleński;141;;;;
121;Augustowo;Strzegowo;powiat mławski;78;;;;
122;Augustowo;Długosiodło;powiat wyszkowski;173;;;;
123;Augustów;Krasne;powiat przasnyski;1;;;;
124;Augustów;Grabów nad Pilicą;powiat kozienicki;539;;;;
125;Augustów;Kowala;powiat radomski;672;;;;
126;Augustów;Pionki;powiat radomski;536;;;;
127;Augustówek;Czosnów;powiat nowodworski;343;;;;
128;Augustówka;Osieck;powiat otwocki;1011;;;;
129;Baba;Łyse;powiat ostrołęcki;232;;;;
130;Babice Nowe;Stare Babice;powiat warszawski zachodni;806;;;;
131;Babice;Trojanów;powiat garwoliński;286;;;;
132;Babiec Piaseczny;Rościszewo;powiat sierpecki;156;;;;
133;Babiec Rżały;Rościszewo;powiat sierpecki;40;;;;
134;Babiec-Więczanki;Rościszewo;powiat sierpecki;117;;;;
135;Babilon;Lipsko;powiat lipski;187;;;;
136;Babin;Przyłęk;powiat zwoleński;338;;;;
137;Baboszewo;Baboszewo;powiat płoński;1964;;;;
138;Babskie Budy;Wiskitki;powiat żyrardowski;61;;;;
139;Baby Dolne;Gostynin;powiat gostyniński;71;;;;
140;Baby Górne;Gostynin;powiat gostyniński;83;;;;
141;Baby;Ciechanów;powiat ciechanowski;71;;;;
