łlp;Wieś;Gmina;Powiat;Populacja;Status;P;IleNiepustych;3278
105;Bierwicha;Sidra;powiat sokólski;74;;;;
106;Bilminy;Kuźnica;powiat sokólski;73;;;;
107;Bilwinki;Sokółka;powiat sokólski;48;;;;
108;Bilwinowo;Szypliszki;powiat suwalski;120;;;;
109;Biodry;Jedwabne;powiat łomżyński;121;;;;
110;Biszewo;Grodzisk;powiat siemiatycki;63;;;;
111;Bity Kamień;Dąbrowa Białostocka;powiat sokólski;17;;;;
112;Blenda;Przerośl;powiat suwalski;113;;;;
113;Blizna;Nowinka;powiat augustowski;1;;;;
114;Błaskowizna;Jeleniewo;powiat suwalski;102;;;;
115;Bobra Wielka;Nowy Dwór;powiat sokólski;136;;;;
116;Bobrowa;Zabłudów;powiat białostocki;92;;;;
117;Bobrowisko;Suwałki;powiat suwalski;48;;;;
118;Bobrowniki;Gródek;powiat białostocki;97;;;;
119;Bobrowniki;Sokółka;powiat sokólski;113;;;;
120;Bobrówka;Czeremcha;powiat hajnowski;36;;;;
121;Bobrówka;Jaświły;powiat moniecki;289;;;;
122;Boczki-Świdrowo;Grajewo;powiat grajewski;167;;;;
123;Boćki;Boćki;powiat bielski;1263;;;;
124;Bodaczki;Boćki;powiat bielski;109;;;;
125;Bodaki;Boćki;powiat bielski;79;;;;
126;Bogdanki;Juchnowiec Kościelny;powiat białostocki;91;;;;
127;Bogusze Stare;Grodzisk;powiat siemiatycki;93;;;;
128;Bogusze-Litewka;Grodzisk;powiat siemiatycki;56;;;;
129;Bogusze;Sokółka;powiat sokólski;473;;;;
130;Bogusze;Wyszki;powiat bielski;26;;;;
131;Boguszewo;Mońki;powiat moniecki;273;;;;
132;Boguszki;Trzcianne;powiat moniecki;58;;;;
133;Boguszki;Wizna;powiat łomżyński;38;;;;
134;Boguszyce;Łomża;powiat łomżyński;203;;;;
135;Bohdan;Dobrzyniewo Duże;powiat białostocki;181;;;;
136;Bohoniki;Sokółka;powiat sokólski;76;;;;
137;Bojary;Turośń Kościelna;powiat białostocki;76;;;;
138;Bokiny;Łapy;powiat białostocki;248;;;;
139;Boksze Nowe;Krasnopol;powiat sejneński;44;;;;
140;Boksze Stare;Puńsk;powiat sejneński;53;;;;
141;Boksze-Osada;Puńsk;powiat sejneński;22;;;;
142;Bolcie;Wiżajny;powiat suwalski;67;;;;
143;Bolesty;Bielsk Podlaski;powiat bielski;88;;;;
144;Bolesty;Raczki;powiat suwalski;42;;;;
145;Bołtryki;Michałowo;powiat białostocki;1;;;;
146;Bombla;Korycin;powiat sokólski;96;;;;
147;Bondary;Michałowo;powiat białostocki;234;;;;
148;Bondziszki;Rutka-Tartak;powiat suwalski;70;;;;
149;Boratyniec Lacki;Siemiatycze;powiat siemiatycki;87;;;;
150;Boratyniec Ruski;Siemiatycze;powiat siemiatycki;210;;;;
151;Boratyńszczyzna;Szudziałowo;powiat sokólski;35;;;;
152;Borawskie-Awissa;Radziłów;powiat grajewski;114;;;;
153;Borawskie;Jedwabne;powiat łomżyński;44;;;;
154;Borawskie;Przytuły;powiat łomżyński;57;;;;
155;Borek;Hajnówka;powiat hajnowski;36;;;;
156;Borki;Gródek;powiat białostocki;50;;;;
157;Borkowo;Kolno;powiat kolneński;698;;;;
158;Borowiki;Milejczyce;powiat siemiatycki;28;;;;
159;Borowskie Cibory;Turośń Kościelna;powiat białostocki;107;;;;
160;Borowskie Gziki;Turośń Kościelna;powiat białostocki;58;;;;
161;Borowskie Michały;Turośń Kościelna;powiat białostocki;139;;;;
162;Borowskie Olki;Turośń Kościelna;powiat białostocki;1;;;;
163;Borowskie Skórki;Turośń Kościelna;powiat białostocki;1;;;;
164;Borowskie Wypychy;Turośń Kościelna;powiat białostocki;1;;;;
165;Borowskie Żaki;Turośń Kościelna;powiat białostocki;40;;;;
166;Borsukówka;Dobrzyniewo Duże;powiat białostocki;332;;;;
167;Boruty-Goski;Zambrów;powiat zambrowski;11;;;;
168;Borysowszczyzna;Nurzec-Stacja;powiat siemiatycki;76;;;;
169;Borysówka;Hajnówka;powiat hajnowski;121;;;;
170;Borzymy;Perlejewo;powiat siemiatycki;139;;;;
171;Bosse;Sejny;powiat sejneński;64;;;;
172;Bożenica;Łomża;powiat łomżyński;57;;;;
173;Bór;Augustów;powiat augustowski;67;;;;
174;Brajczewo-Sierzputy;Zambrów;powiat zambrowski;61;;;;
175;Brodowo;Radziłów;powiat grajewski;42;;;;
176;Brody;Korycin;powiat sokólski;58;;;;
177;Brok;Wysokie Mazowieckie;powiat wysokomazowiecki;93;;;;
178;Bronaki-Olki;Jedwabne;powiat łomżyński;37;;;;
179;Bronaki-Pietrasze;Jedwabne;powiat łomżyński;94;;;;
180;Broniszewo;Tykocin;powiat białostocki;90;;;;
181;Bronka;Brańsk;powiat bielski;117;;;;
182;Bronowo;Wizna;powiat łomżyński;374;;;;
183;Brończany;Juchnowiec Kościelny;powiat białostocki;336;;;;
184;Bród Nowy;Suwałki;powiat suwalski;174;;;;
185;Bród Stary;Suwałki;powiat suwalski;75;;;;
186;Brukowo;Suchowola;powiat sokólski;33;;;;
187;Brulin;Śniadowo;powiat łomżyński;78;;;;
188;Brulino-Piwki;Czyżew;powiat wysokomazowiecki;148;;;;
189;Bruszewo-Borkowizna;Sokoły;powiat wysokomazowiecki;25;;;;
190;Bruszewo;Sokoły;powiat wysokomazowiecki;298;;;;
191;Bruszkowszczyzna;Narew;powiat hajnowski;1;;;;
192;Brychy;Radziłów;powiat grajewski;69;;;;
193;Bryki;Drohiczyn;powiat siemiatycki;93;;;;
194;Bryki;Wysokie Mazowieckie;powiat wysokomazowiecki;250;;;;
195;Bryzgiel;Nowinka;powiat augustowski;122;;;;
196;Brześcianka;Bielsk Podlaski;powiat bielski;69;;;;
197;Brzeziny-Janowięta;Dziadkowice;powiat siemiatycki;70;;;;
198;Brzeziny;Trzcianne;powiat moniecki;187;;;;
199;Brzeźnica;Brańsk;powiat bielski;149;;;;
200;Brzeźno;Szczuczyn;powiat grajewski;163;;;;
201;Brzostowo;Jedwabne;powiat łomżyński;96;;;;
202;Brzozowa Wólka;Grajewo;powiat grajewski;75;;;;
203;Brzozowa;Jaświły;powiat moniecki;468;;;;
204;Brzozowa;Grajewo;powiat grajewski;42;;;;
205;Brzozowo Stare;Poświętne;powiat białostocki;131;;;;
206;Brzozowo-Antonie;Poświętne;powiat białostocki;75;;;;
207;Brzozowo-Chabdy;Poświętne;powiat białostocki;44;;;;
208;Brzozowo-Chrzczonki;Poświętne;powiat białostocki;35;;;;
209;Brzozowo-Chrzczony;Poświętne;powiat białostocki;56;;;;
210;Brzozowo-Korabie;Poświętne;powiat białostocki;72;;;;
211;Brzozowo-Muzyły;Poświętne;powiat białostocki;60;;;;
212;Brzozowo-Panki;Poświętne;powiat białostocki;92;;;;
213;Brzozowo-Solniki;Poświętne;powiat białostocki;47;;;;
214;Brzozowo;Dąbrowa Białostocka;powiat sokólski;226;;;;
215;Brzozowo;Kolno;powiat kolneński;129;;;;
216;Brzozówka Folwarczna;Jasionówka;powiat moniecki;58;;;;
217;Brzozówka Koronna;Czarna Białostocka;powiat białostocki;17;;;;
218;Brzozówka Ziemiańska;Czarna Białostocka;powiat białostocki;62;;;;
219;Brzozówka;Bargłów Kościelny;powiat augustowski;313;;;;
220;Brzóski Brzezińskie;Wysokie Mazowieckie;powiat wysokomazowiecki;125;;;;
221;Brzóski Stare;Wysokie Mazowieckie;powiat wysokomazowiecki;108;;;;
222;Brzóski-Falki;Wysokie Mazowieckie;powiat wysokomazowiecki;197;;;;
223;Brzóski-Gromki;Wysokie Mazowieckie;powiat wysokomazowiecki;63;;;;
224;Brzóski-Markowizna;Wysokie Mazowieckie;powiat wysokomazowiecki;69;;;;
225;Brzóski-Tatary;Wysokie Mazowieckie;powiat wysokomazowiecki;118;;;;
226;Brzózki;Kolno;powiat kolneński;67;;;;
227;Bubele;Sejny;powiat sejneński;102;;;;
228;Buczyno-Mikosy;Wysokie Mazowieckie;powiat wysokomazowiecki;46;;;;
229;Bućki;Przerośl;powiat suwalski;41;;;;
230;Buda Ruska;Krasnopol;powiat sejneński;97;;;;
231;Buda Zawidugierska;Puńsk;powiat sejneński;26;;;;
232;Budlewo;Wyszki;powiat bielski;23;;;;
233;Budne;Goniądz;powiat moniecki;48;;;;
234;Budno;Janów;powiat sokólski;59;;;;
235;Budwieć;Giby;powiat sejneński;49;;;;
236;Budy Czarnockie;Piątnica;powiat łomżyński;354;;;;
237;Budy Poryckie;Stawiski;powiat kolneński;67;;;;
238;Budy Stawiskie;Stawiski;powiat kolneński;163;;;;
239;Budy Żelazne;Mały Płock;powiat kolneński;67;;;;
240;Budy-Kozłówka;Mały Płock;powiat kolneński;65;;;;
241;Budy-Mikołajka;Piątnica;powiat łomżyński;41;;;;
242;Budy;Białowieża;powiat hajnowski;72;;;;
243;Budy;Michałowo;powiat białostocki;6;;;;
244;Budy;Trzcianne;powiat moniecki;18;;;;
245;Budziski;Stawiski;powiat kolneński;59;;;;
246;Budziski;Sztabin;powiat augustowski;36;;;;
247;Budzisko;Szypliszki;powiat suwalski;8;;;;
248;Bujaki;Drohiczyn;powiat siemiatycki;138;;;;
249;Bujenka;Ciechanowiec;powiat wysokomazowiecki;191;;;;
250;Bujnowo;Wyszki;powiat bielski;100;;;;
251;Bujny-Biszewo;Wysokie Mazowieckie;powiat wysokomazowiecki;20;;;;
252;Bujny;Sokoły;powiat wysokomazowiecki;80;;;;
253;Bukowo Duże;Wąsosz;powiat grajewski;108;;;;
254;Bukowo;Rajgród;powiat grajewski;31;;;;
255;Bułkowizna;Bargłów Kościelny;powiat augustowski;123;;;;
256;Buraki;Puńsk;powiat sejneński;44;;;;
257;Burbiszki;Sejny;powiat sejneński;107;;;;
258;Burchaty;Brańsk;powiat bielski;55;;;;
259;Burdeniszki;Suwałki;powiat suwalski;100;;;;
260;Burniszki;Wiżajny;powiat suwalski;100;;;;
261;Burzyn;Jedwabne;powiat łomżyński;73;;;;
262;Butrymowce;Nowy Dwór;powiat sokólski;61;;;;
263;Bużyski;Drohiczyn;powiat siemiatycki;79;;;;
264;Bystre;Boćki;powiat bielski;66;;;;
265;Bzury;Szczuczyn;powiat grajewski;187;;;;
266;Cecele;Siemiatycze;powiat siemiatycki;144;;;;
267;Cedry;Stawiski;powiat kolneński;149;;;;
268;Chanie-Chursy;Nurzec-Stacja;powiat siemiatycki;32;;;;
269;Chańki;Milejczyce;powiat siemiatycki;1;;;;
270;Charubin;Turośl;powiat kolneński;241;;;;
271;Charubiny;Turośl;powiat kolneński;33;;;;
272;Chechłowo;Drohiczyn;powiat siemiatycki;103;;;;
273;Chełchy;Grabowo;powiat kolneński;106;;;;
274;Chilmony;Nowy Dwór;powiat sokólski;178;;;;
275;Chlewisk Dolny;Suchowola;powiat sokólski;1;;;;
276;Chlewisk Górny;Suchowola;powiat sokólski;40;;;;
277;Chludnie;Mały Płock;powiat kolneński;204;;;;
278;Chłodne Włóki;Krynki;powiat sokólski;1;;;;
279;Chmiele-Pogorzele;Zambrów;powiat zambrowski;88;;;;
280;Chmielewo;Nowogród;powiat łomżyński;55;;;;
281;Chmielewo;Stawiski;powiat kolneński;65;;;;
282;Chmielniki;Suchowola;powiat sokólski;86;;;;
283;Chmielowszczyzna;Szudziałowo;powiat sokólski;37;;;;
284;Chmielówka;Suchowola;powiat sokólski;65;;;;
285;Chobotki;Knyszyn;powiat moniecki;70;;;;
286;Chodorówka Nowa;Suchowola;powiat sokólski;161;;;;
287;Chodorówka Stara;Suchowola;powiat sokólski;220;;;;
288;Chodory;Turośń Kościelna;powiat białostocki;122;;;;
289;Chodźki;Raczki;powiat suwalski;143;;;;
290;Chojane-Bąki;Kulesze Kościelne;powiat wysokomazowiecki;20;;;;
291;Chojane-Gorczany;Kulesze Kościelne;powiat wysokomazowiecki;60;;;;
292;Chojane-Pawłowięta;Kulesze Kościelne;powiat wysokomazowiecki;94;;;;
293;Chojane-Piecki;Kulesze Kościelne;powiat wysokomazowiecki;59;;;;
294;Chojane-Sierocięta;Kulesze Kościelne;powiat wysokomazowiecki;83;;;;
295;Chojane-Stankowięta;Kulesze Kościelne;powiat wysokomazowiecki;63;;;;
296;Chojewo;Brańsk;powiat bielski;229;;;;
297;Chojnowo;Szczuczyn;powiat grajewski;93;;;;
298;Chojnowo;Trzcianne;powiat moniecki;192;;;;
299;Chojnówek;Grajewo;powiat grajewski;37;;;;
300;Chojny Młode;Łomża;powiat łomżyński;143;;;;
301;Chojny-Naruszczki;Miastkowo;powiat łomżyński;61;;;;
302;Cholewy-Kołomyja;Kołaki Kościelne;powiat zambrowski;38;;;;
303;Chomentowo;Śniadowo;powiat łomżyński;140;;;;
304;Chomice;Sokoły;powiat wysokomazowiecki;58;;;;
305;Chomizna;Poświętne;powiat białostocki;52;;;;
306;Chomontowce;Gródek;powiat białostocki;14;;;;
307;Chomontowo;Augustów;powiat augustowski;60;;;;
308;Chorążycha;Janów;powiat sokólski;1;;;;
309;Choroszczewo;Milejczyce;powiat siemiatycki;107;;;;
310;Chorużowce;Nowy Dwór;powiat sokólski;161;;;;
311;Chorzele;Zambrów;powiat zambrowski;110;;;;
312;Choszczewo;Piątnica;powiat łomżyński;12;;;;
313;Chraboły;Bielsk Podlaski;powiat bielski;101;;;;
314;Chraboły;Dobrzyniewo Duże;powiat białostocki;437;;;;
315;Chrabostówka;Narew;powiat hajnowski;55;;;;
316;Chreptowce;Kuźnica;powiat sokólski;61;;;;
317;Chrołowice;Drohiczyn;powiat siemiatycki;58;;;;
318;Chrostowo;Jedwabne;powiat łomżyński;54;;;;
319;Chrzanowo;Przytuły;powiat łomżyński;125;;;;
320;Chutkowice;Drohiczyn;powiat siemiatycki;62;;;;
321;Chwaszczewo;Sidra;powiat sokólski;170;;;;
322;Chworościany;Nowy Dwór;powiat sokólski;101;;;;
323;Chyliny;Jedwabne;powiat łomżyński;53;;;;
324;Chytra;Hajnówka;powiat hajnowski;105;;;;
325;Ciasne;Supraśl;powiat białostocki;496;;;;
326;Cibory Gałeckie;Zawady;powiat białostocki;134;;;;
327;Cibory-Chrzczony;Zawady;powiat białostocki;27;;;;
328;Cibory-Kołaczki;Zawady;powiat białostocki;13;;;;
329;Cibory-Krupy;Zawady;powiat białostocki;35;;;;
330;Cibory-Marki;Zawady;powiat białostocki;12;;;;
331;Cibory-Witki;Zawady;powiat białostocki;23;;;;
332;Ciechanowczyk;Ciechanowiec;powiat wysokomazowiecki;1;;;;
333;Cieciorki;Zambrów;powiat zambrowski;380;;;;
334;Cieciory;Turośl;powiat kolneński;288;;;;
335;Cieliczanka;Supraśl;powiat białostocki;83;;;;
336;Cieloszka;Turośl;powiat kolneński;362;;;;
337;Ciełuszki;Zabłudów;powiat białostocki;71;;;;
338;Ciemianka;Grabowo;powiat kolneński;134;;;;
339;Ciemne;Suchowola;powiat sokólski;82;;;;
340;Ciemnoszyje;Grajewo;powiat grajewski;209;;;;
341;Ciesze;Mońki;powiat moniecki;138;;;;
342;Cieśnisk Mały;Janów;powiat sokólski;1;;;;
343;Cieśnisk Wielki;Janów;powiat sokólski;49;;;;
344;Cimanie;Kuźnica;powiat sokólski;56;;;;
345;Cimochowizna;Suwałki;powiat suwalski;28;;;;
346;Cimochy;Narew;powiat hajnowski;17;;;;
347;Cisów;Sztabin;powiat augustowski;86;;;;
348;Cisówek;Nowinka;powiat augustowski;62;;;;
349;Cisówka;Michałowo;powiat białostocki;50;;;;
350;Cisy;Narew;powiat hajnowski;1;;;;
351;Ciszewo;Rajgród;powiat grajewski;97;;;;
352;Ciumicze;Krynki;powiat sokólski;129;;;;
353;Ciwoniuki;Michałowo;powiat białostocki;57;;;;
354;Cwaliny Duże;Mały Płock;powiat kolneński;110;;;;
355;Cwaliny Małe;Mały Płock;powiat kolneński;66;;;;
356;Cwaliny;Stawiski;powiat kolneński;21;;;;
357;Cyprki;Grajewo;powiat grajewski;82;;;;
358;Czachy-Kołaki;Kołaki Kościelne;powiat zambrowski;149;;;;
359;Czachy;Radziłów;powiat grajewski;60;;;;
360;Czaczki Małe;Turośń Kościelna;powiat białostocki;33;;;;
361;Czaczki Wielkie;Turośń Kościelna;powiat białostocki;110;;;;
362;Czaje-Bagno;Ciechanowiec;powiat wysokomazowiecki;93;;;;
363;Czaje-Wólka;Ciechanowiec;powiat wysokomazowiecki;72;;;;
364;Czaje;Grodzisk;powiat siemiatycki;101;;;;
365;Czajewszczyzna;Jeleniewo;powiat suwalski;23;;;;
366;Czajki;Sokoły;powiat wysokomazowiecki;89;;;;
367;Czaplice;Łomża;powiat łomżyński;183;;;;
368;Czaplino;Choroszcz;powiat białostocki;180;;;;
369;Czarkówka Duża;Perlejewo;powiat siemiatycki;87;;;;
370;Czarkówka Mała;Perlejewo;powiat siemiatycki;100;;;;
371;Czarna Buchta;Krasnopol;powiat sejneński;41;;;;
372;Czarna Cerkiewna;Grodzisk;powiat siemiatycki;75;;;;
373;Czarna Średnia;Grodzisk;powiat siemiatycki;163;;;;
374;Czarna Wielka;Grodzisk;powiat siemiatycki;153;;;;
375;Czarna Kościelna;Czarna Białostocka;powiat białostocki;626;;;;
376;Czarna Wieś;Rajgród;powiat grajewski;154;;;;
377;Czarnakowizna;Suwałki;powiat suwalski;87;;;;
378;Czarne;Filipów;powiat suwalski;125;;;;
379;Czarniewo;Sztabin;powiat augustowski;109;;;;
380;Czarnocin;Piątnica;powiat łomżyński;554;;;;
381;Czarnorzeczka;Dąbrowa Białostocka;powiat sokólski;1;;;;
382;Czarnowo-Biki;Kulesze Kościelne;powiat wysokomazowiecki;108;;;;
383;Czarnowo-Dąb;Kołaki Kościelne;powiat zambrowski;42;;;;
384;Czarnowo-Undy;Kołaki Kościelne;powiat zambrowski;70;;;;
385;Czarnowo;Szczuczyn;powiat grajewski;43;;;;
386;Czarnówek;Szczuczyn;powiat grajewski;73;;;;
387;Czarnucha;Augustów;powiat augustowski;68;;;;
388;Czarny Las;Sztabin;powiat augustowski;26;;;;
