lp;Wieś;Gmina;Powiat;Populacja;Status;P;IleNiepustych;3333
1;Abramowice Kościelne;Głusk;powiat lubelski;25;;;;
2;Abramowice Prywatne;Głusk;powiat lubelski;841;;;;
3;Abramów;Abramów;powiat lubartowski;595;;;;
4;Abramów;Goraj;powiat biłgorajski;128;;;;
5;Adamów;Cyców;powiat łęczyński;154;;;;
6;Adamów;Adamów;powiat łukowski;1944;;;;
7;Adamów;Adamów;powiat zamojski;420;;;;
8;Adamówka;Żółkiewka;powiat krasnostawski;100;;;;
9;Adelina;Chodel;powiat opolski;140;;;;
10;Adelina;Werbkowice;powiat hrubieszowski;80;;;;
11;Agatówka;Trzydnik Duży;powiat kraśnicki;133;;;;
12;Albertów;Puchaczów;powiat łęczyński;395;;;;
13;Albinów Duży;Goraj;powiat biłgorajski;60;;;;
14;Albinów Mały;Goraj;powiat biłgorajski;43;;;;
15;Aleksandria Krzywowolska;Rejowiec;powiat chełmski;102;;;;
16;Aleksandria Niedziałowska;Rejowiec;powiat chełmski;65;;;;
17;Aleksandrów;Łuków;powiat łukowski;509;;;;
18;Aleksandrów;Stanin;powiat łukowski;141;;;;
19;Aleksandrów;Gościeradów;powiat kraśnicki;238;;;;
20;Aleksandrów;Aleksandrów;powiat biłgorajski;3199;;;;
21;Aleksandrówka;Drelów;powiat bialski;78;;;;
22;Aleksandrówka;Michów;powiat lubartowski;63;;;;
23;Aleksandrówka;Stoczek Łukowski;powiat łukowski;191;;;;
24;Aleksandrówka;Batorz;powiat janowski;372;;;;
25;Alojzów;Leśniowice;powiat chełmski;198;;;;
26;Alojzów;Werbkowice;powiat hrubieszowski;315;;;;
27;Amelin;Siemień;powiat parczewski;90;;;;
28;Amelin;Kamionka;powiat lubartowski;80;;;;
29;Ameryka;Mircze;powiat hrubieszowski;58;;;;
30;Andrzejów;Kamień;powiat chełmski;157;;;;
31;Andrzejów;Urszulin;powiat włodawski;218;;;;
32;Andrzejów;Godziszów;powiat janowski;611;;;;
33;Andrzejówka;Biłgoraj;powiat biłgorajski;194;;;;
34;Andrzejówka;Mircze;powiat hrubieszowski;85;;;;
35;Anielin;Puławy;powiat puławski;149;;;;
36;Anielin;Annopol;powiat kraśnicki;81;;;;
37;Anielówka;Michów;powiat lubartowski;51;;;;
38;Anielpol;Kraśniczyn;powiat krasnostawski;83;;;;
39;Annobór;Lubartów;powiat lubartowski;285;;;;
40;Annopol;Kock;powiat lubartowski;205;;;;
41;Annopol;Hrubieszów;powiat hrubieszowski;64;;;;
42;Annów;Zakrzew;powiat lubelski;213;;;;
43;Annówka;Kock;powiat lubartowski;58;;;;
44;Anonin;Stanin;powiat łukowski;443;;;;
45;Antolin;Konstantynów;powiat bialski;93;;;;
46;Antolin;Modliborzyce;powiat janowski;84;;;;
47;Antoniów;Milejów;powiat łęczyński;232;;;;
48;Antoniówka;Krzczonów;powiat lubelski;43;;;;
49;Antoniówka;Ostrówek;powiat lubartowski;163;;;;
50;Antoniówka;Gorzków;powiat krasnostawski;108;;;;
51;Antoniówka;Komarów-Osada;powiat zamojski;252;;;;
52;Antoniówka;Krynice;powiat tomaszowski;274;;;;
53;Antoniówka;Wysokie;powiat lubelski;196;;;;
54;Antonówka;Chodel;powiat opolski;92;;;;
55;Antopol;Podedwórze;powiat parczewski;104;;;;
56;Anusin;Siedliszcze;powiat chełmski;111;;;;
57;Augustówka;Siemień;powiat parczewski;81;;;;
58;Aurelin;Uchanie;powiat hrubieszowski;109;;;;
59;Babczyzna;Ostrówek;powiat lubartowski;53;;;;
60;Babianka;Parczew;powiat parczewski;122;;;;
61;Babice;Obsza;powiat biłgorajski;959;;;;
62;Babin;Bełżyce;powiat lubelski;834;;;;
63;Babsk;Urszulin;powiat włodawski;167;;;;
64;Baczków;Wola Mysłowska;powiat łukowski;194;;;;
65;Bagno;Zwierzyniec;powiat zamojski;356;;;;
66;Bakus-Wanda;Wierzbica;powiat chełmski;82;;;;
67;Bałtów;Żyrzyn;powiat puławski;414;;;;
68;Bańkowszczyzna;Rejowiec;powiat chełmski;47;;;;
69;Barak;Jastków;powiat lubelski;170;;;;
70;Baraki;Siennica Różana;powiat krasnostawski;70;;;;
71;Baraki;Annopol;powiat kraśnicki;38;;;;
72;Baraki;Zakrzew;powiat lubelski;131;;;;
73;Baran;Firlej;powiat lubartowski;117;;;;
74;Baranica;Gorzków;powiat krasnostawski;101;;;;
75;Baranówka;Lubartów;powiat lubartowski;330;;;;
76;Barbarówka;Dorohusk;powiat chełmski;63;;;;
77;Barchaczów;Łabunie;powiat zamojski;426;;;;
78;Barki;Cyców;powiat łęczyński;324;;;;
79;Barłogi;Kurów;powiat puławski;126;;;;
80;Bartłomiejowice;Wąwolnica;powiat puławski;168;;;;
81;Basonia;Józefów nad Wisłą;powiat opolski;164;;;;
82;Baszki;Niemce;powiat lubelski;423;;;;
83;Batorz;Batorz;powiat janowski;873;;;;
84;Bazar;Rybczewice;powiat świdnicki;188;;;;
85;Bedlno Radzyńskie;Radzyń Podlaski;powiat radzyński;263;;;;
86;Bedlno;Radzyń Podlaski;powiat radzyński;277;;;;
87;Bednarzówka;Dębowa Kłoda;powiat parczewski;81;;;;
88;Bekiesza;Cyców;powiat łęczyński;337;;;;
89;Bełcząc;Czemierniki;powiat radzyński;692;;;;
90;Bełżec;Bełżec;powiat tomaszowski;2519;;;;
91;Berdyszcze;Dorohusk;powiat chełmski;34;;;;
92;Berejów;Niedźwiada;powiat lubartowski;364;;;;
93;Bereść;Grabowiec;powiat zamojski;257;;;;
94;Bereza;Międzyrzec Podlaski;powiat bialski;599;;;;
95;Berezówka;Zalesie;powiat bialski;149;;;;
96;Bereżnica;Horodło;powiat hrubieszowski;240;;;;
97;Bezek Dębiński;Siedliszcze;powiat chełmski;96;;;;
98;Bezek;Siedliszcze;powiat chełmski;361;;;;
