lp;Wieś;Gmina;Powiat;Populacja;Status;P;IleNiepustych;1053
1;Baczyna;Lubiszyn;powiat gorzowski;1500;;;;
2;Bagniewo;Drezdenko;powiat strzelecko-drezdenecki;71;;;;
3;Bagno;Sława;powiat wschowski;195;;;;
4;Baranowice;Santok;powiat gorzowski;109;;;;
5;Bargów;Torzym;powiat sulęciński;52;;;;
6;Barłogi;Bobrowice;powiat krośnieński;73;;;;
7;Bełcze;Bojadła;powiat zielonogórski;235;;;;
8;Będów;Czerwieńsk;powiat zielonogórski;214;;;;
9;Białcz;Witnica;powiat gorzowski;619;;;;
10;Białczyk;Witnica;powiat gorzowski;295;;;;
11;Białków;Cybinka;powiat słubicki;523;;;;
12;Białków;Lubsko;powiat żarski;352;;;;
13;Białobłocie;Deszczno;powiat gorzowski;249;;;;
14;Białowice;Nowogród Bobrzański;powiat zielonogórski;120;;;;
15;Biecz;Brody;powiat żarski;258;;;;
16;Biedrzychowice Dolne;Żary;powiat żarski;277;;;;
17;Bielawy;Siedlisko;powiat nowosolski;867;;;;
18;Bieleń;Trzciel;powiat międzyrzecki;39;;;;
19;Bielice;Torzym;powiat sulęciński;180;;;;
20;Bielów;Krosno Odrzańskie;powiat krośnieński;151;;;;
21;Bieniów;Żary;powiat żarski;856;;;;
22;Biernatów;Szprotawa;powiat żagański;28;;;;
23;Bieszków;Jasień;powiat żarski;138;;;;
24;Bieżyce;Gubin;powiat krośnieński;407;;;;
25;Bledzew;Bledzew;powiat międzyrzecki;1026;;;;
26;Błonie;Skąpe;powiat świebodziński;69;;;;
27;Błotnica;Stare Kurowo;powiat strzelecko-drezdenecki;238;;;;
28;Błotno;Zwierzyn;powiat strzelecko-drezdenecki;121;;;;
29;Bobowicko;Międzyrzecz;powiat międzyrzecki;696;;;;
30;Bobrowice;Bobrowice;powiat krośnieński;841;;;;
31;Bobrowice;Szprotawa;powiat żagański;120;;;;
32;Bobrowniki;Otyń;powiat nowosolski;697;;;;
33;Bobrówko;Strzelce Krajeńskie;powiat strzelecko-drezdenecki;787;;;;
34;Bobrówko;Torzym;powiat sulęciński;79;;;;
35;Bobrzany;Małomice;powiat żagański;477;;;;
36;Boczów;Torzym;powiat sulęciński;624;;;;
37;Bodzów;Bytom Odrzański;powiat nowosolski;205;;;;
38;Bogaczów;Nowogród Bobrzański;powiat zielonogórski;437;;;;
39;Bogdaniec;Bogdaniec;powiat gorzowski;1259;;;;
40;Bogumiłów;Żary;powiat żarski;282;;;;
41;Boguszyniec;Witnica;powiat gorzowski;66;;;;
42;Bojadła;Bojadła;powiat zielonogórski;1152;;;;
43;Bolemin;Deszczno;powiat gorzowski;460;;;;
44;Bonów;Bytom Odrzański;powiat nowosolski;82;;;;
45;Borek;Deszczno;powiat gorzowski;361;;;;
46;Borek;Trzebiechów;powiat zielonogórski;121;;;;
47;Borowe;Iłowa;powiat żagański;423;;;;
48;Borowiec;Siedlisko;powiat nowosolski;314;;;;
49;Borowina;Szprotawa;powiat żagański;272;;;;
