lp;Wieś;Gmina;Powiat;Populacja;Status;P;IleNiepustych;1548
1;Adamówka;Adamówka;powiat przeworski;1175;;;;
2;Agatówka;Zaleszany;powiat stalowowolski;1;;;;
3;Aksmanice;Fredropol;powiat przemyski;282;;;;
4;Albigowa;Łańcut;powiat łańcucki;3008;;;;
5;Alfredówka;Nowa Dęba;powiat tarnobrzeski;745;;;;
6;Antoniki;Lubaczów;powiat lubaczowski;206;;;;
7;Antoniów;Radomyśl nad Sanem;powiat stalowowolski;692;;;;
8;Babica;Czudec;powiat strzyżowski;1271;;;;
9;Babice;Krzywcza;powiat przemyski;812;;;;
10;Babicha;Tuszów Narodowy;powiat mielecki;293;;;;
11;Babule;Padew Narodowa;powiat mielecki;225;;;;
12;Bachlawa;Lesko;powiat leski;229;;;;
13;Bachórz;Dynów;powiat rzeszowski;1077;;;;
14;Bachórzec;Dubiecko;powiat przemyski;906;;;;
15;Bachów;Krzywcza;powiat przemyski;669;;;;
16;Bajdy;Wojaszówka;powiat krośnieński;698;;;;
17;Baligród;Baligród;powiat leski;1254;;;;
18;Bałaje;Lubaczów;powiat lubaczowski;261;;;;
19;Bałucianka;Rymanów;powiat krośnieński;136;;;;
20;Banachy;Harasiuki;powiat niżański;149;;;;
21;Bandrów Narodowy;Ustrzyki Dolne;powiat bieszczadzki;421;;;;
22;Barwinek;Dukla;powiat krośnieński;253;;;;
23;Barycz;Domaradz;powiat brzozowski;796;;;;
24;Barycz;Stubno;powiat przemyski;200;;;;
25;Baryczka;Niebylec;powiat strzyżowski;995;;;;
26;Basznia Dolna;Lubaczów;powiat lubaczowski;844;;;;
27;Basznia Górna;Lubaczów;powiat lubaczowski;381;;;;
28;Batycze;Żurawica;powiat przemyski;328;;;;
29;Bażanówka;Zarszyn;powiat sanocki;810;;;;
30;Bączal Dolny;Skołyszyn;powiat jasielski;650;;;;
31;Bączal Górny;Skołyszyn;powiat jasielski;593;;;;
32;Bączałka;Brzostek;powiat dębicki;272;;;;
33;Bełchówka;Bukowsko;powiat sanocki;1;;;;
34;Bełwin;Przemyśl;powiat przemyski;126;;;;
35;Beniowa;Lutowiska;powiat bieszczadzki;1;;;;
36;Berezka;Solina;powiat leski;464;;;;
37;Bereżki;Lutowiska;powiat bieszczadzki;1;;;;
38;Bereżnica Niżna;Solina;powiat leski;1;;;;
39;Bereżnica Wyżna;Solina;powiat leski;198;;;;
40;Besko;Besko;powiat sanocki;4050;;;;
41;Bezmiechowa Dolna;Lesko;powiat leski;458;;;;
42;Bezmiechowa Górna;Lesko;powiat leski;268;;;;
43;Będziemyśl;Sędziszów Małopolski;powiat ropczycko-sędziszowski;1031;;;;
44;Będzienica;Iwierzyce;powiat ropczycko-sędziszowski;453;;;;
45;Białka;Błażowa;powiat rzeszowski;625;;;;
46;Białoboki;Gać;powiat przeworski;676;;;;
47;Białobrzegi;Białobrzegi;powiat łańcucki;2727;;;;
48;Biały Bór;Przecław;powiat mielecki;992;;;;
49;Biedaczów;Leżajsk;powiat leżajski;719;;;;
50;Bieliniec;Ulanów;powiat niżański;416;;;;
51;Bieliny;Ulanów;powiat niżański;917;;;;
52;Bielowy;Pilzno;powiat dębicki;493;;;;
53;Bierówka;Jasło;powiat jasielski;564;;;;
54;Bieździadka;Kołaczyce;powiat jasielski;1432;;;;
55;Bieździedza;Kołaczyce;powiat jasielski;1436;;;;
56;Bihale;Wielkie Oczy;powiat lubaczowski;270;;;;
