lp;Wieś;Gmina;Powiat;Populacja;Status;P;IleNiepustych;1710
1;Adamowo;Stary Dzierzgoń;powiat sztumski;193;;;;
2;Angowice;Chojnice;powiat chojnicki;271;;;;
3;Ankamaty;Dzierzgoń;powiat sztumski;116;;;;
4;Antoniewo;Brusy;powiat chojnicki;193;;;;
5;Antonin;Prabuty;powiat kwidzyński;74;;;;
6;Asmus;Brusy;powiat chojnicki;193;;;;
7;Babi Dół;Żukowo;powiat kartuski;280;;;;
8;Babidół;Kolbudy;powiat gdański;283;;;;
9;Bagna;Czersk;powiat chojnicki;193;;;;
10;Baldram;Kwidzyn;powiat kwidzyński;383;;;;
11;Bałamątek;Ustka;powiat słupski;193;;;;
12;Bałdowo;Tczew;powiat tczewski;913;;;;
13;Banino;Żukowo;powiat kartuski;9806;;;;
14;Baranowo;Parchowo;powiat bytowski;193;;;;
15;Barchnowy;Starogard Gdański;powiat starogardzki;239;;;;
16;Barcice;Ryjewo;powiat kwidzyński;354;;;;
17;Barcino;Kępice;powiat słupski;644;;;;
18;Barkocin;Kołczygłowy;powiat bytowski;157;;;;
19;Barkowo;Człuchów;powiat człuchowski;368;;;;
20;Barlewice;Sztum;powiat sztumski;47;;;;
21;Barłomino;Luzino;powiat wejherowski;656;;;;
22;Barłożno;Skórcz;powiat starogardzki;682;;;;
23;Barniewice;Żukowo;powiat kartuski;899;;;;
24;Barnowiec;Kołczygłowy;powiat bytowski;193;;;;
25;Bartel Wielki;Kaliska;powiat starogardzki;153;;;;
26;Bartoszylas;Stara Kiszewa;powiat kościerski;186;;;;
27;Barwik;Przodkowo;powiat kartuski;716;;;;
28;Barwino;Kępice;powiat słupski;180;;;;
29;Bawernica;Parchowo;powiat bytowski;73;;;;
30;Bącka Huta;Sierakowice;powiat kartuski;276;;;;
31;Bącz;Kartuzy;powiat kartuski;268;;;;
32;Bączek;Skarszewy;powiat starogardzki;417;;;;
33;Bądki;Gardeja;powiat kwidzyński;442;;;;
34;Bądze;Stary Dzierzgoń;powiat sztumski;39;;;;
35;Bągart;Dzierzgoń;powiat sztumski;370;;;;
36;Bąk;Karsin;powiat kościerski;545;;;;
37;Benowo;Ryjewo;powiat kwidzyński;365;;;;
38;Będargowo;Szemud;powiat wejherowski;481;;;;
39;Będomin;Nowa Karczma;powiat kościerski;210;;;;
40;Będominek;Kościerzyna;powiat kościerski;193;;;;
41;Będziechowo;Główczyce;powiat słupski;130;;;;
42;Będźmierowice;Czersk;powiat chojnicki;502;;;;
43;Biała Góra;Sztum;powiat sztumski;209;;;;
44;Biała;Miastko;powiat bytowski;84;;;;
45;Białachowo;Zblewo;powiat starogardzki;275;;;;
46;Białachówko;Zblewo;powiat starogardzki;193;;;;
47;Białki;Sadlinki;powiat kwidzyński;450;;;;
48;Białogarda;Wicko;powiat lęborski;228;;;;
49;Białogóra;Krokowa;powiat pucki;372;;;;
50;Bielawki;Pelplin;powiat tczewski;390;;;;
51;Bielawy;Czersk;powiat chojnicki;193;;;;
52;Bielkówko;Kolbudy;powiat gdański;1248;;;;
53;Bielsk;Morzeszczyn;powiat tczewski;76;;;;
54;Bielsko;Koczała;powiat człuchowski;436;;;;
55;Bierkowo;Słupsk;powiat słupski;1160;;;;
56;Biernatka;Czarne;powiat człuchowski;113;;;;
57;Biesowice;Kępice;powiat słupski;805;;;;
58;Bieszkowice;Wejherowo;powiat wejherowski;504;;;;
59;Bietowo;Lubichowo;powiat starogardzki;398;;;;
60;Bięcino;Damnica;powiat słupski;214;;;;
61;Binduga;Konarzyny;powiat chojnicki;92;;;;
62;Bińcze;Czarne;powiat człuchowski;423;;;;
63;Biskupnica;Człuchów;powiat człuchowski;308;;;;
64;Blunaki;Dzierzgoń;powiat sztumski;49;;;;
65;Błądzikowo;Puck;powiat pucki;350;;;;
66;Błotnia;Trąbki Wielkie;powiat gdański;206;;;;
67;Błotnik;Cedry Wielkie;powiat gdański;340;;;;
68;Bobięcino;Miastko;powiat bytowski;120;;;;
69;Bobowo;Bobowo;powiat starogardzki;1485;;;;
70;Bobrowiec;Smętowo Graniczne;powiat starogardzki;166;;;;
71;Bochowo;Czarna Dąbrówka;powiat bytowski;156;;;;
72;Bogatka;Pruszcz Gdański;powiat gdański;201;;;;
73;Bojano;Szemud;powiat wejherowski;4207;;;;
74;Bolesławice;Kobylnica;powiat słupski;1285;;;;
75;Bolesławowo;Skarszewy;powiat starogardzki;727;;;;
76;Bolszewo;Wejherowo;powiat wejherowski;9780;;;;
77;Boraszewo;Skórcz;powiat starogardzki;193;;;;
78;Borcz;Somonino;powiat kartuski;651;;;;
79;Borek Kamienny;Sulęczyno;powiat kartuski;182;;;;
80;Boręty;Lichnowy;powiat malborski;311;;;;
81;Borkowo Lęborskie;Choczewo;powiat wejherowski;152;;;;
82;Borkowo;Morzeszczyn;powiat tczewski;315;;;;
83;Borkowo;Pruszcz Gdański;powiat gdański;6084;;;;
84;Borkowo;Żukowo;powiat kartuski;1714;;;;
85;Boroszewo;Tczew;powiat tczewski;733;;;;
86;Borowina;Przywidz;powiat gdański;392;;;;
87;Borowo;Kartuzy;powiat kartuski;924;;;;
88;Borowy Las;Sierakowice;powiat kartuski;157;;;;
89;Borowy Młyn;Ryjewo;powiat kwidzyński;137;;;;
90;Borowy Młyn;Lipnica;powiat bytowski;917;;;;
91;Borsk;Karsin;powiat kościerski;184;;;;
92;Borucino;Stężyca;powiat kartuski;356;;;;
93;Borzechowo;Zblewo;powiat starogardzki;1023;;;;
94;Borzestowo;Chmielno;powiat kartuski;656;;;;
95;Borzestowska Huta;Chmielno;powiat kartuski;310;;;;
96;Borzęcinko;Dębnica Kaszubska;powiat słupski;193;;;;
97;Borzęcino;Dębnica Kaszubska;powiat słupski;443;;;;
98;Borzyszkowy;Lipnica;powiat bytowski;295;;;;
99;Borzytuchom;Borzytuchom;powiat bytowski;1215;;;;
100;Bożanka;Trzebielino;powiat bytowski;146;;;;
101;Bożepole Królewskie;Skarszewy;powiat starogardzki;238;;;;
102;Bożepole Szlacheckie;Stara Kiszewa;powiat kościerski;108;;;;
103;Bożepole Wielkie;Łęczyce;powiat wejherowski;1971;;;;
104;Brachlewo;Kwidzyn;powiat kwidzyński;427;;;;
105;Brda;Czersk;powiat chojnicki;193;;;;
106;Breńsk;Rzeczenica;powiat człuchowski;193;;;;
107;Broczyna;Trzebielino;powiat bytowski;193;;;;
108;Brodnica Dolna;Kartuzy;powiat kartuski;193;;;;
109;Brodnica Górna;Kartuzy;powiat kartuski;1639;;;;
110;Brody Pomorskie;Gniew;powiat tczewski;209;;;;
111;Brokowo;Kwidzyn;powiat kwidzyński;218;;;;
112;Bronisławowo;Sadlinki;powiat kwidzyński;332;;;;
113;Bronowo;Stegna;powiat nowodworski;547;;;;
114;Bronowo;Kępice;powiat słupski;131;;;;
115;Brudzewo;Puck;powiat pucki;307;;;;
116;Bruk;Dzierzgoń;powiat sztumski;468;;;;
117;Bruskowo Małe;Słupsk;powiat słupski;239;;;;
118;Bruskowo Wielkie;Słupsk;powiat słupski;347;;;;
119;Brusy-Jaglie;Brusy;powiat chojnicki;193;;;;
120;Brusy-Wybudowanie;Brusy;powiat chojnicki;193;;;;
121;Brzezie;Rzeczenica;powiat człuchowski;418;;;;
122;Brzeziniec;Dębnica Kaszubska;powiat słupski;193;;;;
123;Brzeźno Lęborskie;Łęczyce;powiat wejherowski;643;;;;
124;Brzeźno Szlacheckie;Lipnica;powiat bytowski;479;;;;
125;Brzeźno Wielkie;Starogard Gdański;powiat starogardzki;304;;;;
126;Brzeźno;Człuchów;powiat człuchowski;262;;;;
127;Brzozowo;Lipnica;powiat bytowski;137;;;;
128;Brzózki;Nowy Staw;powiat malborski;127;;;;
129;Brzuśce;Subkowy;powiat tczewski;713;;;;
130;Brzyno;Krokowa;powiat pucki;633;;;;
131;Bucznik;Stary Dzierzgoń;powiat sztumski;58;;;;
132;Budowo;Dębnica Kaszubska;powiat słupski;657;;;;
133;Budy;Lubichowo;powiat starogardzki;193;;;;
134;Budziska;Czersk;powiat chojnicki;193;;;;
135;Budzisz;Dzierzgoń;powiat sztumski;66;;;;
136;Buka;Debrzno;powiat człuchowski;75;;;;
137;Bukowa Góra;Czersk;powiat chojnicki;193;;;;
138;Bukowa Góra;Sulęczyno;powiat kartuski;124;;;;
139;Bukowa;Smołdzino;powiat słupski;76;;;;
140;Bukowina;Cewice;powiat lęborski;700;;;;
141;Bukowiny;Osiek;powiat starogardzki;145;;;;
142;Bukowo;Stary Targ;powiat sztumski;267;;;;
143;Bukowo;Człuchów;powiat człuchowski;184;;;;
144;Buszkowy;Kolbudy;powiat gdański;559;;;;
145;Bychowo;Gniewino;powiat wejherowski;263;;;;
146;Bydlino;Słupsk;powiat słupski;584;;;;
147;Bylina;Parchowo;powiat bytowski;193;;;;
148;Bystra;Pruszcz Gdański;powiat gdański;382;;;;
149;Bystrze;Miłoradz;powiat malborski;200;;;;
150;Bytonia;Zblewo;powiat starogardzki;1041;;;;
151;Bzowo;Kobylnica;powiat słupski;125;;;;
152;Cecenowo;Główczyce;powiat słupski;338;;;;
153;Cedry Małe;Cedry Wielkie;powiat gdański;962;;;;
154;Cedry Wielkie;Cedry Wielkie;powiat gdański;1384;;;;
155;Cetyń;Trzebielino;powiat bytowski;291;;;;
156;Cewice;Cewice;powiat lęborski;2043;;;;
157;Chałupy;Władysławowo;powiat pucki;384;;;;
158;Charbrowo;Wicko;powiat lęborski;741;;;;
159;Charnowo;Ustka;powiat słupski;355;;;;
160;Charzykowy;Chojnice;powiat chojnicki;2329;;;;
161;Chełmek;Stegna;powiat nowodworski;252;;;;
162;Chlebówka;Nowy Staw;powiat malborski;97;;;;
163;Chlewnica;Potęgowo;powiat słupski;27;;;;
164;Chłapowo;Władysławowo;powiat pucki;1223;;;;
165;Chmieleniec;Łęczyce;powiat wejherowski;208;;;;
166;Chmielno;Chmielno;powiat kartuski;1774;;;;
167;Chocielewko;Nowa Lęborska;powiat lęborski;618;;;;
168;Chociński Młyn;Chojnice;powiat chojnicki;193;;;;
169;Choczewo;Choczewo;powiat wejherowski;1272;;;;
170;Choćmirowo;Główczyce;powiat słupski;57;;;;
171;Choćmirówko;Główczyce;powiat słupski;112;;;;
172;Chojniczki;Chojnice;powiat chojnicki;1422;;;;
173;Chorążówka;Stegna;powiat nowodworski;57;;;;
174;Chośnica;Parchowo;powiat bytowski;134;;;;
175;Chotkowo;Borzytuchom;powiat bytowski;232;;;;
176;Chrósty Wysińskie;Liniewo;powiat kościerski;234;;;;
177;Chrzanowo;Łęczyce;powiat wejherowski;183;;;;
178;Chrząstowo;Człuchów;powiat człuchowski;278;;;;
179;Chrztowo;Liniewo;powiat kościerski;111;;;;
180;Chwarzenko;Stara Kiszewa;powiat kościerski;254;;;;
181;Chwarzno;Stara Kiszewa;powiat kościerski;177;;;;
182;Chwaszczyno;Żukowo;powiat kartuski;4609;;;;
183;Chynowie;Gniewino;powiat wejherowski;465;;;;
