lp;Wieś;Gmina;Powiat;Populacja;Status;P;IleNiepustych;1835
1;Adamierz;Olesno;powiat dąbrowski;260;;;;
2;Adamowice;Gołcza;powiat miechowski;92;;;;
3;Aleksandrowice;Zabierzów;powiat krakowski;718;;;;
4;Andrzejówka;Muszyna;powiat nowosądecki;468;;;;
5;Antolka;Książ Wielki;powiat miechowski;278;;;;
6;Babica;Wadowice;powiat wadowicki;1028;;;;
7;Babice;Oświęcim;powiat oświęcimski;2069;;;;
8;Babice;Babice;powiat chrzanowski;1515;;;;
9;Bachowice;Spytkowice;powiat wadowicki;2334;;;;
10;Baczków;Bochnia;powiat bocheński;1059;;;;
11;Baczyn;Budzów;powiat suski;896;;;;
12;Balice;Zabierzów;powiat krakowski;1487;;;;
13;Balin;Chrzanów;powiat chrzanowski;3353;;;;
14;Bałażówka;Limanowa;powiat limanowski;137;;;;
15;Banica;Uście Gorlickie;powiat gorlicki;318;;;;
16;Bańska Niżna;Szaflary;powiat nowotarski;1200;;;;
17;Bańska Wyżna;Szaflary;powiat nowotarski;1145;;;;
18;Baranówka;Kocmyrzów-Luborzyca;powiat krakowski;1077;;;;
19;Barbarka;Skała;powiat krakowski;215;;;;
20;Barcice Dolne;Stary Sącz;powiat nowosądecki;741;;;;
21;Barcice;Stary Sącz;powiat nowosądecki;2805;;;;
22;Barczków;Szczurowa;powiat brzeski;115;;;;
23;Barnowiec;Łabowa;powiat nowosądecki;198;;;;
24;Bartkowa-Posadowa;Gródek nad Dunajcem;powiat nowosądecki;1225;;;;
25;Bartne;Sękowa;powiat gorlicki;163;;;;
26;Barwałd Dolny;Wadowice;powiat wadowicki;703;;;;
27;Barwałd Górny;Kalwaria Zebrzydowska;powiat wadowicki;1411;;;;
28;Barwałd Średni;Kalwaria Zebrzydowska;powiat wadowicki;1387;;;;
29;Batowice;Zielonki;powiat krakowski;491;;;;
30;Bącza-Kunina;Nawojowa;powiat nowosądecki;633;;;;
31;Bednarka;Lipinki;powiat gorlicki;323;;;;
32;Bełdno;Żegocina;powiat bocheński;297;;;;
33;Berest;Krynica-Zdrój;powiat nowosądecki;883;;;;
34;Bessów;Bochnia;powiat bocheński;313;;;;
35;Bębło;Wielka Wieś;powiat krakowski;1471;;;;
36;Bęczarka;Myślenice;powiat myślenicki;1154;;;;
37;Bęczyn;Brzeźnica;powiat wadowicki;628;;;;
38;Będkowice;Wielka Wieś;powiat krakowski;614;;;;
39;Będzieszyna;Czchów;powiat brzeski;148;;;;
40;Biadoliny Radłowskie;Wojnicz;powiat tarnowski;1218;;;;
41;Biadoliny Szlacheckie;Dębno;powiat brzeski;917;;;;
42;Biała Niżna;Grybów;powiat nowosądecki;2688;;;;
43;Biała;Tarnów;powiat tarnowski;491;;;;
44;Białawoda;Łososina Dolna;powiat nowosądecki;383;;;;
45;Białka Tatrzańska;Bukowina Tatrzańska;powiat tatrzański;2318;;;;
46;Białka;Maków Podhalański;powiat suski;2617;;;;
47;Biały Dunajec;Biały Dunajec;powiat tatrzański;5180;;;;
48;Biały Kościół;Wielka Wieś;powiat krakowski;1101;;;;
49;Bibice;Zielonki;powiat krakowski;4711;;;;
50;Biczyce Dolne;Chełmiec;powiat nowosądecki;1000;;;;
51;Biczyce Górne;Chełmiec;powiat nowosądecki;618;;;;
52;Bielanka;Gorlice;powiat gorlicki;173;;;;
53;Bielanka;Raba Wyżna;powiat nowotarski;440;;;;
54;Bielany;Kęty;powiat oświęcimski;1885;;;;
55;Bielcza;Borzęcin;powiat brzeski;1568;;;;
56;Bieniaszowice;Gręboszów;powiat dąbrowski;129;;;;
57;Bieńkowice;Dobczyce;powiat myślenicki;634;;;;
58;Bieńkowice;Drwinia;powiat bocheński;189;;;;
59;Bieńkówka;Budzów;powiat suski;2254;;;;
60;Biertowice;Sułkowice;powiat myślenicki;957;;;;
61;Biesiadki;Gnojnik;powiat brzeski;860;;;;
62;Biesna;Łużna;powiat gorlicki;738;;;;
63;Bieśnik;Łużna;powiat gorlicki;405;;;;
64;Bieśnik;Zakliczyn;powiat tarnowski;267;;;;
65;Bilczyce;Gdów;powiat wielicki;1095;;;;
66;Bilsko;Łososina Dolna;powiat nowosądecki;1329;;;;
67;Binarowa;Biecz;powiat gorlicki;1578;;;;
68;Binczarowa;Grybów;powiat nowosądecki;1461;;;;
69;Biórków Mały;Koniusza;powiat proszowicki;412;;;;
70;Biórków Wielki;Koniusza;powiat proszowicki;505;;;;
71;Biskupice Melsztyńskie;Czchów;powiat brzeski;767;;;;
72;Biskupice Radłowskie;Radłów;powiat tarnowski;1019;;;;
73;Biskupice;Koszyce;powiat proszowicki;182;;;;
74;Biskupice;Miechów;powiat miechowski;317;;;;
75;Biskupice;Biskupice;powiat wielicki;1173;;;;
76;Biskupice;Iwanowice;powiat krakowski;382;;;;
77;Biskupice;Gręboszów;powiat dąbrowski;147;;;;
78;Bistuszowa;Ryglice;powiat tarnowski;675;;;;
79;Blechnarka;Uście Gorlickie;powiat gorlicki;54;;;;
80;Błogocice;Radziemice;powiat proszowicki;295;;;;
81;Błonie;Tarnów;powiat tarnowski;876;;;;
82;Bobin;Proszowice;powiat proszowicki;376;;;;
83;Bobrek;Chełmek;powiat oświęcimski;2034;;;;
84;Bobrowniki Małe;Wierzchosławice;powiat tarnowski;878;;;;
85;Bobrowniki Wielkie;Żabno;powiat tarnowski;784;;;;
