lp;Wieś;Gmina;Powiat;Populacja;Status;P;IleNiepustych;4356
1;Adamierz;Zagórów;powiat słupecki;79;;;;
2;Adamin;Olszówka;powiat kolski;226;;;;
3;Adamowo;Kleczew;powiat koniński;112;;;;
4;Adamowo;Wolsztyn;powiat wolsztyński;1181;;;;
5;Adamów;Golina;powiat koniński;476;;;;
6;Adamów;Krzymów;powiat koniński;96;;;;
7;Adolfowo;Rakoniewice;powiat grodziski;142;;;;
8;Albertowsko;Grodzisk Wielkopolski;powiat grodziski;209;;;;
9;Albertów;Turek;powiat turecki;176;;;;
10;Aleksandria;Brzeziny;powiat kaliski;556;;;;
11;Aleksandrowo;Wapno;powiat wągrowiecki;106;;;;
12;Aleksandrów;Mycielin;powiat kaliski;105;;;;
13;Aleksandrów;Chodów;powiat kolski;91;;;;
14;Aleksandrów;Przykona;powiat turecki;1;;;;
15;Aleksandrówek;Grodziec;powiat koniński;38;;;;
16;Aleksandrówka;Koło;powiat kolski;66;;;;
17;Alinowo;Kleczew;powiat koniński;70;;;;
18;Anastazewo;Powidz;powiat słupecki;149;;;;
19;Anielew;Kramsk;powiat koniński;88;;;;
20;Anielewo;Kazimierz Biskupi;powiat koniński;176;;;;
21;Anielewo;Zagórów;powiat słupecki;46;;;;
22;Anielin;Żelazków;powiat kaliski;213;;;;
23;Aniołka Pierwsza;Trzcinica;powiat kępiński;142;;;;
24;Annapol;Jarocin;powiat jarociński;245;;;;
25;Annopol;Lisków;powiat kaliski;97;;;;
26;Annopole;Środa Wielkopolska;powiat średzki;136;;;;
27;Annowo;Czerwonak;powiat poznański;1;;;;
28;Annówka;Mycielin;powiat kaliski;1;;;;
29;Antoniewo;Lubasz;powiat czarnkowsko-trzcianecki;164;;;;
30;Antonin;Przygodzice;powiat ostrowski;461;;;;
31;Antonin;Szczytniki;powiat kaliski;137;;;;
32;Antonin;Żerków;powiat jarociński;406;;;;
33;Antonin;Oborniki;powiat obornicki;1;;;;
34;Antoniny;Szamocin;powiat chodzieski;1;;;;
35;Arcugowo;Niechanowo;powiat gnieźnieński;140;;;;
36;Arentowo;Miasteczko Krajeńskie;powiat pilski;134;;;;
37;Arkuszewo;Przedecz;powiat kolski;213;;;;
38;Atanazyn;Szamocin;powiat chodzieski;276;;;;
39;Augustowo;Rydzyna;powiat leszczyński;60;;;;
40;Augustowo;Krajenka;powiat złotowski;166;;;;
41;Augustowo;Kwilcz;powiat międzychodzki;57;;;;
42;Augustowo;Wielichowo;powiat grodziski;99;;;;
43;Augustynów;Dąbie;powiat kolski;126;;;;
44;Augustynów;Zagórów;powiat słupecki;136;;;;
45;Auguścin;Wyrzysk;powiat pilski;263;;;;
46;Babia;Rzgów;powiat koniński;162;;;;
47;Babiak;Babiak;powiat kolski;1821;;;;
48;Babin-Olędry;Strzałkowo;powiat słupecki;108;;;;
49;Babin;Strzałkowo;powiat słupecki;316;;;;
50;Babki;Mosina;powiat poznański;444;;;;
51;Babkowice;Pępowo;powiat gostyński;368;;;;
52;Baborowo;Szamotuły;powiat szamotulski;197;;;;
53;Baborówko;Szamotuły;powiat szamotulski;431;;;;
54;Bachorzew;Jarocin;powiat jarociński;532;;;;
55;Bałdoń;Godziesze Wielkie;powiat kaliski;235;;;;
56;Bałdowice;Kobyla Góra;powiat ostrzeszowski;157;;;;
57;Baraniec;Pyzdry;powiat wrzesiński;1;;;;
58;Barankowo;Krajenka;powiat złotowski;75;;;;
59;Baranowiec;Dąbie;powiat kolski;99;;;;
60;Baranowo;Łubowo;powiat gnieźnieński;93;;;;
61;Baranowo;Mosina;powiat poznański;1;;;;
62;Baranowo;Tarnowo Podgórne;powiat poznański;2973;;;;
63;Baranów;Baranów;powiat kępiński;2233;;;;
64;Baranówek;Pleszew;powiat pleszewski;84;;;;
65;Baranówko;Mosina;powiat poznański;98;;;;
66;Barbarka;Golina;powiat koniński;132;;;;
67;Barce;Kramsk;powiat koniński;260;;;;
68;Barchlin;Przemęt;powiat wolsztyński;415;;;;
69;Barczygłów;Stare Miasto;powiat koniński;550;;;;
70;Barczyzna;Nekla;powiat wrzesiński;129;;;;
71;Bardo;Września;powiat wrzesiński;169;;;;
72;Barłogi;Grzegorzew;powiat kolski;670;;;;
73;Barłogi;Rzgów;powiat koniński;191;;;;
