lp;Wieś;Gmina;Powiat;Populacja;Status;P;IleNiepustych;1097
1;Adamowice;Lyski;powiat rybnicki;926;;;;
2;Adamów;Kłomnice;powiat częstochowski;418;;;;
3;Albertów;Lipie;powiat kłobucki;319;;;;
4;Aleksandria;Konopiska;powiat częstochowski;2510;;;;
5;Aleksandrów k. Wąsosza;Koniecpol;powiat częstochowski;1;;;;
6;Aleksandrów;Koniecpol;powiat częstochowski;130;;;;
7;Aleksandrów;Panki;powiat kłobucki;107;;;;
8;Aleksandrówka;Przyrów;powiat częstochowski;104;;;;
9;Amandów;Pietrowice Wielkie;powiat raciborski;92;;;;
10;Annolesie;Popów;powiat kłobucki;164;;;;
11;Antolka;Niegowa;powiat myszkowski;35;;;;
12;Antonie;Popów;powiat kłobucki;1;;;;
13;Antoniów;Mykanów;powiat częstochowski;1;;;;
14;Antonów;Przystajń;powiat kłobucki;165;;;;
15;Apolonka;Janów;powiat częstochowski;56;;;;
16;Babice;Nędza;powiat raciborski;801;;;;
17;Babienica;Woźniki;powiat lubliniecki;1084;;;;
18;Baby;Kruszyna;powiat częstochowski;318;;;;
19;Bagna;Przystajń;powiat kłobucki;1;;;;
20;Bargłówka;Sośnicowice;powiat gliwicki;730;;;;
21;Bargły;Poczesna;powiat częstochowski;687;;;;
22;Bartkowice;Kłomnice;powiat częstochowski;323;;;;
23;Bażanowice;Goleszów;powiat cieszyński;1255;;;;
24;Bąków;Strumień;powiat cieszyński;1875;;;;
25;Bełk;Czerwionka-Leszczyny;powiat rybnicki;3464;;;;
26;Bełsznica;Gorzyce;powiat wodzisławski;1172;;;;
27;Bestwina;Bestwina;powiat bielski;4982;;;;
28;Bestwinka;Bestwina;powiat bielski;1706;;;;
29;Biała Błotna;Kroczyce;powiat zawierciański;182;;;;
30;Biała Wielka;Lelów;powiat częstochowski;413;;;;
31;Biała;Kłobuck;powiat kłobucki;1521;;;;
32;Bielowicko;Jasienica;powiat bielski;604;;;;
33;Bieńkowice;Krzyżanowice;powiat raciborski;1169;;;;
34;Bierna;Łodygowice;powiat żywiecki;1153;;;;
35;Biery;Jasienica;powiat bielski;1373;;;;
36;Bieżeń;Wręczyca Wielka;powiat kłobucki;782;;;;
37;Biskupice;Olsztyn;powiat częstochowski;1021;;;;
38;Biskupice;Pilica;powiat zawierciański;249;;;;
39;Bliżyce;Niegowa;powiat myszkowski;518;;;;
40;Bluszczów;Gorzyce;powiat wodzisławski;986;;;;
41;Bładnice Dolne;Skoczów;powiat cieszyński;846;;;;
42;Bładnice Górne;Skoczów;powiat cieszyński;109;;;;
43;Błażejowice;Wielowieś;powiat gliwicki;291;;;;
44;Bobolice;Niegowa;powiat myszkowski;89;;;;
