lp;Wieś;Gmina;Powiat;Populacja;Status;P;IleNiepustych;1017
1;Aleksandrów;Praszka;powiat oleski;63;;;;
2;Antoniów;Ozimek;powiat opolski;1156;;;;
3;Babice;Baborów;powiat głubczycki;243;;;;
4;Balcarzowice;Ujazd;powiat strzelecki;267;;;;
5;Baldwinowice;Namysłów;powiat namysłowski;62;;;;
6;Barut;Jemielnica;powiat strzelecki;516;;;;
7;Barzyna;Namysłów;powiat namysłowski;78;;;;
8;Bażany;Kluczbork;powiat kluczborski;675;;;;
9;Bąkowice;Świerczów;powiat namysłowski;366;;;;
10;Bąków;Grodków;powiat brzeski;485;;;;
11;Bąków;Kluczbork;powiat kluczborski;903;;;;
12;Bernacice Górne;Głubczyce;powiat głubczycki;109;;;;
13;Bernacice;Głubczyce;powiat głubczycki;78;;;;
14;Biadacz;Kluczbork;powiat kluczborski;626;;;;
15;Biadacz;Łubniany;powiat opolski;706;;;;
16;Biała Nyska;Nysa;powiat nyski;873;;;;
17;Białowieża;Kamiennik;powiat nyski;64;;;;
18;Biechów;Pakosławice;powiat nyski;273;;;;
19;Biedrzychowice;Głogówek;powiat prudnicki;715;;;;
20;Bielice;Łambinowice;powiat nyski;825;;;;
21;Bielice;Świerczów;powiat namysłowski;50;;;;
22;Bierawa;Bierawa;powiat kędzierzyńsko-kozielski;1410;;;;
23;Bierdzany;Turawa;powiat opolski;901;;;;
24;Biernatów;Głubczyce;powiat głubczycki;76;;;;
25;Bierzów;Skarbimierz;powiat brzeski;186;;;;
26;Biestrzykowice;Świerczów;powiat namysłowski;368;;;;
27;Biestrzynnik;Ozimek;powiat opolski;649;;;;
28;Biskupice;Radłów;powiat oleski;473;;;;
29;Biskupice;Byczyna;powiat kluczborski;591;;;;
30;Biskupów;Głuchołazy;powiat nyski;731;;;;
31;Bliszczyce;Branice;powiat głubczycki;509;;;;
32;Błachów;Dobrodzień;powiat oleski;214;;;;
33;Błażejowice Dolne;Głogówek;powiat prudnicki;146;;;;
34;Błażejowice;Cisek;powiat kędzierzyńsko-kozielski;240;;;;
35;Błota;Lubsza;powiat brzeski;369;;;;
36;Błotnica Strzelecka;Strzelce Opolskie;powiat strzelecki;1019;;;;
37;Boboluszki;Branice;powiat głubczycki;317;;;;
38;Bobrowa;Rudniki;powiat oleski;303;;;;
39;Bodzanowice;Olesno;powiat oleski;968;;;;
40;Bodzanów;Głuchołazy;powiat nyski;1555;;;;
41;Bogacica;Kluczbork;powiat kluczborski;1414;;;;
42;Bogacka Szklarnia;Kluczbork;powiat kluczborski;153;;;;
43;Bogdanowice;Głubczyce;powiat głubczycki;538;;;;
44;Bogdanów;Grodków;powiat brzeski;135;;;;
45;Bogdańczowice;Kluczbork;powiat kluczborski;155;;;;
46;Boguchwałów;Baborów;powiat głubczycki;262;;;;
47;Boguszyce;Prószków;powiat opolski;536;;;;
48;Borek;Byczyna;powiat kluczborski;90;;;;
49;Borek;Korfantów;powiat nyski;209;;;;
50;Borek;Krapkowice;powiat krapkowicki;108;;;;
51;Borki Małe;Olesno;powiat oleski;531;;;;
52;Borki Wielkie;Olesno;powiat oleski;884;;;;
53;Borki;Dobrzeń Wielki;powiat opolski;108;;;;
54;Borkowice;Kluczbork;powiat kluczborski;776;;;;
55;Borkowice;Lewin Brzeski;powiat brzeski;446;;;;
56;Boroszów;Olesno;powiat oleski;258;;;;
57;Borucice;Lubsza;powiat brzeski;204;;;;
58;Borycz;Izbicko;powiat strzelecki;386;;;;
59;Borzysławice;Pawłowiczki;powiat kędzierzyńsko-kozielski;132;;;;
60;Braciszów;Głubczyce;powiat głubczycki;73;;;;
61;Branice;Branice;powiat głubczycki;1996;;;;
62;Broniec;Olesno;powiat oleski;159;;;;
63;Broniszowice;Otmuchów;powiat nyski;99;;;;
64;Browiniec Polski;Biała;powiat prudnicki;133;;;;
65;Brożec;Walce;powiat krapkowicki;774;;;;
66;Bruny;Wołczyn;powiat kluczborski;159;;;;
67;Brynica;Łubniany;powiat opolski;1238;;;;
68;Brynica;Wołczyn;powiat kluczborski;77;;;;
69;Brzezie;Dobrzeń Wielki;powiat opolski;108;;;;
70;Brzezina;Skarbimierz;powiat brzeski;582;;;;
71;Brzezina;Strzelce Opolskie;powiat strzelecki;140;;;;
72;Brzezinka;Namysłów;powiat namysłowski;69;;;;
73;Brzezinki;Wołczyn;powiat kluczborski;338;;;;
74;Brzeziny;Praszka;powiat oleski;303;;;;
75;Brzeziny;Skoroszyce;powiat nyski;316;;;;
76;Brzeźce;Bierawa;powiat kędzierzyńsko-kozielski;601;;;;
77;Brzeźnica;Biała;powiat prudnicki;230;;;;
78;Brzęczkowice;Niemodlin;powiat opolski;58;;;;
79;Brzozowiec;Namysłów;powiat namysłowski;273;;;;
80;Budzieszowice;Łambinowice;powiat nyski;348;;;;
81;Budzów;Gorzów Śląski;powiat oleski;148;;;;
82;Bukowa Śląska;Namysłów;powiat namysłowski;218;;;;
83;Bukowie;Wilków;powiat namysłowski;617;;;;
84;Bukowo;Murów;powiat opolski;202;;;;
85;Buków;Otmuchów;powiat nyski;487;;;;
86;Burgrabice;Głuchołazy;powiat nyski;631;;;;
87;Buszyce;Lewin Brzeski;powiat brzeski;307;;;;
88;Bykowice;Pakosławice;powiat nyski;115;;;;
89;Bytków;Reńska Wieś;powiat kędzierzyńsko-kozielski;80;;;;
90;Bzinica Nowa;Dobrodzień;powiat oleski;207;;;;
91;Bzinica Stara;Dobrodzień;powiat oleski;342;;;;
92;Centawa;Jemielnica;powiat strzelecki;507;;;;
93;Charbielin;Głuchołazy;powiat nyski;788;;;;
94;Chmielowice;Komprachcice;powiat opolski;108;;;;
95;Chobie;Ozimek;powiat opolski;277;;;;
96;Chocianowice;Lasowice Wielkie;powiat kluczborski;1026;;;;
97;Chociebórz;Kamiennik;powiat nyski;99;;;;
98;Chomiąża;Głubczyce;powiat głubczycki;158;;;;
99;Chorula;Gogolin;powiat krapkowicki;518;;;;
100;Chróstno;Głubczyce;powiat głubczycki;100;;;;
101;Chrósty;Pawłowiczki;powiat kędzierzyńsko-kozielski;122;;;;
102;Chróścice;Dobrzeń Wielki;powiat opolski;2694;;;;
103;Chróścielów;Kietrz;powiat głubczycki;358;;;;
104;Chróścina;Dąbrowa;powiat opolski;1551;;;;
105;Chróścina;Lewin Brzeski;powiat brzeski;287;;;;
106;Chróścina;Skoroszyce;powiat nyski;1432;;;;
107;Chrząstowice;Chrząstowice;powiat opolski;1428;;;;
108;Chrząszczyce;Prószków;powiat opolski;578;;;;
109;Chrzelice;Biała;powiat prudnicki;573;;;;
110;Chrzowice;Prószków;powiat opolski;122;;;;
111;Chudoba;Byczyna;powiat kluczborski;108;;;;
112;Chudoba;Lasowice Wielkie;powiat kluczborski;701;;;;
113;Ciarka;Lasowice Wielkie;powiat kluczborski;221;;;;
114;Ciecierzyn;Byczyna;powiat kluczborski;277;;;;
115;Cieciułów;Rudniki;powiat oleski;592;;;;
116;Ciepielowice;Dąbrowa;powiat opolski;544;;;;
117;Ciermięcice;Głubczyce;powiat głubczycki;90;;;;
118;Cieszanowice;Kamiennik;powiat nyski;124;;;;
119;Ciesznów;Głogówek;powiat prudnicki;62;;;;
120;Ciężkowice;Polska Cerekiew;powiat kędzierzyńsko-kozielski;321;;;;
121;Cisek;Cisek;powiat kędzierzyńsko-kozielski;1104;;;;
122;Czaple Wolne;Kluczbork;powiat kluczborski;108;;;;
123;Czarnocin;Leśnica;powiat strzelecki;131;;;;
124;Czarnolas;Skoroszyce;powiat nyski;383;;;;
125;Czarnowąsy;Dobrzeń Wielki;powiat opolski;108;;;;
126;Czartowice;Biała;powiat prudnicki;103;;;;
127;Czepielowice;Lubsza;powiat brzeski;696;;;;
128;Czerwonków;Baborów;powiat głubczycki;289;;;;
129;Czeska Wieś;Olszanka;powiat brzeski;351;;;;
130;Czyżowice;Prudnik;powiat prudnicki;297;;;;
131;Ćwiercie;Walce;powiat krapkowicki;54;;;;
132;Dalachów;Rudniki;powiat oleski;1213;;;;
133;Daniec;Chrząstowice;powiat opolski;1194;;;;
134;Dąbrowa;Dąbrowa;powiat opolski;1332;;;;
135;Dąbrowa;Świerczów;powiat namysłowski;573;;;;
136;Dąbrowice;Chrząstowice;powiat opolski;204;;;;
137;Dąbrówka Dolna;Pokój;powiat namysłowski;197;;;;
138;Dąbrówka Górna;Krapkowice;powiat krapkowicki;870;;;;
139;Dąbrówka Łubniańska;Łubniany;powiat opolski;533;;;;
140;Dąbrówka;Gogolin;powiat krapkowicki;169;;;;
141;Debrzyca;Głubczyce;powiat głubczycki;245;;;;
142;Dębie;Chrząstowice;powiat opolski;459;;;;
143;Dębina;Gorzów Śląski;powiat oleski;174;;;;
144;Dębina;Biała;powiat prudnicki;108;;;;
145;Dębiniec;Murów;powiat opolski;351;;;;
146;Dębnik;Wilków;powiat namysłowski;59;;;;
147;Dębowa;Reńska Wieś;powiat kędzierzyńsko-kozielski;202;;;;
148;Dębowiec;Prudnik;powiat prudnicki;107;;;;
149;Dębska Kuźnia;Chrząstowice;powiat opolski;1275;;;;
150;Długomiłowice;Reńska Wieś;powiat kędzierzyńsko-kozielski;1259;;;;
151;Dobiercice;Byczyna;powiat kluczborski;275;;;;
152;Dobieszowice;Walce;powiat krapkowicki;433;;;;
153;Dobieszów;Głubczyce;powiat głubczycki;83;;;;
154;Dobieszów;Pawłowiczki;powiat kędzierzyńsko-kozielski;156;;;;
155;Dobra;Strzeleczki;powiat krapkowicki;797;;;;
156;Dobrosławice;Pawłowiczki;powiat kędzierzyńsko-kozielski;193;;;;
157;Dobrzeń Mały;Dobrzeń Wielki;powiat opolski;757;;;;
158;Dobrzeń Wielki;Dobrzeń Wielki;powiat opolski;4614;;;;
159;Dobrzyń;Lubsza;powiat brzeski;553;;;;
160;Dolna;Leśnica;powiat strzelecki;307;;;;
161;Domaradz;Pokój;powiat namysłowski;813;;;;
162;Domaradzka Kuźnia;Pokój;powiat namysłowski;210;;;;
163;Domaszkowice;Nysa;powiat nyski;622;;;;
164;Domaszowice;Domaszowice;powiat namysłowski;978;;;;
